metric,MBD,DDD
cost,7.80405 ± 3.22058,18.0482 ± 7.32805
lambda,19.1761 ± 3.74489e-15,40.2467 ± 9.32654
rho,0.999654 ± 1.17028e-16,0.999117 ± 0.000152442
time,0.349653 ± 0.0388953,0.602435 ± 0.0844709
attempts,1 ± 0,1 ± 0
stress,3.06832 ± 0.484961,2.56735 ± 0.829635
ratio_violation,0 ± 0,0 ± 0
objective,14.3861 ± 0,30.1947 ± 7.00483
solver,1 ± 0,1 ± 0
