x1,x2,x3,x4,x5,x6,x7,u1,y1,y2,y3,z1,z2,z3,z4,z5,z6,z7,z8
0.1257302210933933,-0.1321048632913019,0.6404226504432821,0.10490011715303971,-0.535669373161111,0.36159505490948474,1.3040000451301372,0.18705266763276332,0.1257302210933933,0.6404226504432821,-0.535669373161111,0.1257302210933933,-0.1321048632913019,0.6404226504432821,0.10490011715303971,-0.535669373161111,0.36159505490948474,1.3040000451301372,0.18705266763276332
0.12486852242791437,-0.10222825834904574,0.5450801733407288,-0.014679210959635739,-3.191889893107684,0.3894082704265054,-0.05588055167394679,-0.06683841425323772,0.12486852242791437,0.5450801733407288,-3.191889893107684,0.12486852242791437,-0.10222825834904574,0.5450801733407288,-0.014679210959635739,-3.191889893107684,0.3894082704265054,-0.05588055167394679,-0.06683841425323772
0.12284426394027895,-0.08456827893757836,0.15793654536445068,-0.09936942725523847,0.4884616344181387,0.3426193487355746,-1.597017667076102,-0.30016503156786617,0.12284426394027895,0.15793654536445068,0.4884616344181387,0.12284426394027895,-0.08456827893757836,0.15793654536445068,-0.09936942725523847,0.4884616344181387,0.3426193487355746,-1.597017667076102,-0.30016503156786617
0.11993648500022484,-0.0817286500367076,-0.043234373760260625,0.012696468180476603,3.004589258050956,0.2243341643547959,-2.8858324675283544,-0.4784345911249548,0.11993648500022484,-0.043234373760260625,3.004589258050956,0.11993648500022484,-0.0817286500367076,-0.043234373760260625,0.012696468180476603,3.004589258050956,0.2243341643547959,-2.8858324675283544,-0.4784345911249548
0.1194800898895052,-0.08334834955438292,-0.019727009107627785,0.09287336770934698,-0.44560176932921164,0.05569908941751117,-3.6324851741060504,-0.5790164604071392,0.1194800898895052,-0.019727009107627785,-0.44560176932921164,0.1194800898895052,-0.08334834955438292,-0.019727009107627785,0.09287336770934698,-0.44560176932921164,0.05569908941751117,-3.6324851741060504,-0.5790164604071392
0.11693495565534932,-0.09138376059024572,-0.2960221247324698,-0.012305494334285242,-2.832467431023541,-0.1319968611793202,-3.71046972770835,-0.5943739084568318,0.11693495565534932,-0.2960221247324698,-2.832467431023541,0.11693495565534932,-0.09138376059024572,-0.2960221247324698,-0.012305494334285242,-2.832467431023541,-0.1319968611793202,-3.71046972770835,-0.5943739084568318
0.11466929321793973,-0.10690796247522354,-0.3182698005182538,-0.08792205423223173,0.4190875802540068,-0.30543692563104646,-3.148727223184253,-0.5319496868720648,0.11466929321793973,-0.3182698005182538,0.4190875802540068,0.11466929321793973,-0.10690796247522354,-0.3182698005182538,-0.08792205423223173,0.4190875802540068,-0.30543692563104646,-3.148727223184253,-0.5319496868720648
0.11384582818380486,-0.11272435692277556,0.08649439013156913,0.011302221880515276,2.673394802484201,-0.4363103123946041,-2.0999597018186433,-0.41104292792768193,0.11384582818380486,0.08649439013156913,2.673394802484201,0.11384582818380486,-0.11272435692277556,0.08649439013156913,0.011302221880515276,2.673394802484201,-0.4363103123946041,-2.0999597018186433,-0.41104292792768193
0.11181459967236718,-0.10808826179248486,0.09794104638478462,0.08253421401055978,-0.3998163725514619,-0.5062543521578787,-0.7923284541751693,-0.2576851830476613,0.11181459967236718,0.09794104638478462,-0.3998163725514619,0.11181459967236718,-0.10808826179248486,0.09794104638478462,0.08253421401055978,-0.3998163725514619,-0.5062543521578787,-0.7923284541751693,-0.2576851830476613
0.10979719574151375,-0.10167207102422143,0.15630381107597022,-0.010817868794634394,-2.509763808120618,-0.5091409280383946,0.5254935046177434,-0.09889210982732989,0.10979719574151375,0.15630381107597022,-2.509763808120618,0.10979719574151375,-0.10167207102422143,0.15630381107597022,-0.010817868794634394,-2.509763808120618,-0.5091409280383946,0.5254935046177434,-0.09889210982732989
0.10734719617639848,-0.0919782198889974,0.2273881910240163,-0.07782801717159168,0.3710552931370765,-0.4506777060298395,1.6350459912944686,0.04233978928485964,0.10734719617639848,0.2273881910240163,0.3710552931370765,0.10734719617639848,-0.0919782198889974,0.2273881910240163,-0.07782801717159168,0.3710552931370765,-0.4506777060298395,1.6350459912944686,0.04233978928485964
0.10562561142881169,-0.08105658483207642,0.2051146448006849,0.009660695943345315,2.3556852023617734,-0.34580710560338584,2.3852065190123257,0.15027542477982364,0.10562561142881169,0.2051146448006849,2.3556852023617734,0.10562561142881169,-0.08105658483207642,0.2051146448006849,0.009660695943345315,2.3556852023617734,-0.34580710560338584,2.3852065190123257,0.15027542477982364
0.10576595604603775,-0.06513204045936373,0.42437382643263477,0.07298625365859417,-0.3349536589073988,-0.21476176733036587,2.7099500560616834,0.21748548618649255,0.10576595604603775,0.42437382643263477,-0.3349536589073988,0.10576595604603775,-0.06513204045936373,0.42437382643263477,0.07298625365859417,-0.3349536589073988,-0.21476176733036587,2.7099500560616834,0.21748548618649255
0.10425513905562027,-0.048133928618377265,0.2497315535219361,-0.009124678431001787,-2.2238991900070566,-0.07879264473500276,2.6257841292933155,0.2438858648999635,0.10425513905562027,0.2497315535219361,-2.2238991900070566,0.10425513905562027,-0.048133928618377265,0.2497315535219361,-0.009124678431001787,-2.2238991900070566,-0.07879264473500276,2.6257841292933155,0.2438858648999635
