x1,x2,x3,x4,u1,u2
0.1257302210933933,-0.1321048632913019,0.6404226504432821,0.10490011715303971,0.18705266763276332,0.16058984895686512
0.0770472629484513,-0.08792340049867381,0.5478407880684298,0.10417508330423986,-0.06683841425323772,-0.08755973074038202
-0.16296387585541983,0.0913379914760713,0.4923886907920263,0.07875109690152327,-0.30016503156786617,-0.3102323071569156
-0.16725302390015412,-0.015147170693672003,0.4633593420458914,0.035127690681587984,-0.4784345911249548,-0.46342034645921465
-0.22114336292900116,-0.25878246339226707,0.44684241340697284,-0.016834774473387562,-0.5790164604071392,-0.5202746407447697
-0.4295808910840966,-0.4082329850470993,0.4287542801908979,-0.06616867463212253,-0.5943739084568318,-0.47783972181557094
-0.5690261357228924,-0.37669027084001483,0.3982423670183909,-0.10336565887254001,-0.5319496868720648,-0.356865270535594
-0.5383380261484596,-0.5133655206487705,0.3503299551684745,-0.12251368050649301,-0.41104292792768193,-0.1949062449190731
-0.5530738699702139,-0.3287226570479131,0.2869093495852852,-0.12240211611736143,-0.2576851830476613,-0.034911213951336964
-0.5371804015116747,-0.19130041323818492,0.2157155535171104,-0.10630889893371728,-0.09889210982732989,0.08720299145183925
-0.46348509678198013,-0.10700419054082587,0.14755467685824236,-0.08057917595913859,0.04233978928485964,0.15226500902899176
-0.5014918147476428,-0.1013461503026546,0.09262008162486218,-0.05246000690277723,0.15027542477982364,0.16202490181444434
-0.3199929477018407,-0.0973860551398566,0.05702983162219724,-0.02786391561688844,0.21748548618649255,0.13670453918433198
-0.3973328941571816,0.034045295851254674,0.04066690441518364,-0.00973523519975309,0.2438858648999635,0.10687372895272433
-0.31423849696321515,0.0970219527734098,0.03701385497653411,0.002509775327479839,0.23446768180057917,0.10232006407803322
-0.2465015315427902,0.07600831785358986,0.03506564817701859,0.012340217682886387,0.196657752362392,0.1414571294725169
-0.32810509147903566,-0.04891780605335287,0.02276482854226044,0.024511495800876255,0.13818633223783872,0.22459705007309927
-0.2697643519652611,0.07261287532622866,-0.009071874664404376,0.04304936148004598,0.06601253067333586,0.33318052812466414
-0.0513773623706712,0.024013335637921962,-0.06353172862098241,0.06947951645570505,-0.013611957434518079,0.4351991565139495
-0.08193461356267878,0.18858363378573015,-0.13609036201471608,0.1018827094741872,-0.09431479370295788,0.4951344958941539
-0.20393756096465893,0.267486036936808,-0.21530781893436368,0.13509492554773264,-0.1686761613137246,0.48535749035773323
-0.2165034214192732,0.3259470172682436,-0.28559434593169863,0.16201548649586875,-0.22790422514296133,0.3954923819226376
-0.14523721344331114,0.34701031811039584,-0.33129848775049764,0.17564224684879348,-0.2625833064183622,0.23687169551731804
-0.1554656406484108,0.2579987191241373,-0.3409851445258485,0.17122665690471833,-0.2645438028557557,0.04069004810800973
-0.19374891717419992,0.18350546923442232,-0.3107169485089354,0.14789939661076437,-0.22942884043959744,-0.1496544744249505
-0.36577435650597806,0.13951720252079816,-0.24543862521557763,0.10927004571054702,-0.15916471229905443,-0.28983259689428303
-0.3128930400474742,0.023441146774198493,-0.1581001649653909,0.0628035787074312,-0.06341113847770698,-0.3462393352289853
-0.24970985423024927,-0.0477543320638258,-0.06677903080146667,0.018131072591343667,0.040764985116021654,-0.30474088646537373
-0.08315818590707527,-0.15538799949037993,0.009407816574549942,-0.015243987669808697,0.13131095018988714,-0.17412383488209252
0.0979174451536557,-0.19330677767485674,0.054522185482539294,-0.030217333130848553,0.18542921621369216,0.016570341898365468
0.19328208574501698,-0.25061794726909264,0.05909619944359506,-0.023725525640076236,0.18478039613145186,0.22588659285295798
0.04008451316443021,-0.2746521400265646,0.021750900000037713,0.0026592177476317605,0.12039588398879378,0.4106186395623491
-0.09880973717955809,0.06738850666890944,-0.05111244373879484,0.04329560686424559,-0.004028428340194498,0.5362640174745054
-0.19319628680087572,0.250207153733207,-0.14728278725785954,0.08999471151341684,-0.17149663750519412,0.5844762453239988
-0.17081243822076395,0.4960709700697893,-0.2517086387057367,0.13404318220367,-0.3541747849485775,0.5557428890036255
-0.28910114308183754,0.5310846411414681,-0.3496311673621494,0.16817056195144536,-0.5186238958728602,0.4669876319874456
-0.23171596731372873,0.7440452886386802,-0.4291256637210791,0.18796203523795865,-0.6327449658076839,0.3452465926304379
-0.29957780538658535,0.9078961633358104,-0.48257568238318815,0.19241276886292905,-0.6728756840508966,0.21957308697986985
-0.3442163741595583,0.7643236501345089,-0.5069759957643125,0.18358403454284739,-0.6293535164719628,0.11361195888628993
-0.3471176162002245,0.7426008350764521,-0.5032986963274783,0.1655717849046208,-0.5091590824815183,0.04082210529616322
-0.35686870567422185,0.4341224341019677,-0.47536002965855373,0.1431625098494978,-0.33491460642988874,0.003314898769530807
-0.519300674477498,0.29413610449554534,-0.42864781491830145,0.12058799815053123,-0.14037439255685033,-0.0059252492418488826
-0.23487639635587462,0.20992376542711877,-0.3694307104220014,0.10070139352226133,0.036608798253355265,0.0013284401852675203
-0.03311485013538809,0.19689594457224827,-0.30424507982241306,0.08472201457722627,0.1620420784737712,0.013331540351732224
0.19081172000958152,0.23254305967839006,-0.23964066741252188,0.0724996462800433,0.21285047978224933,0.021958839977163795
0.18409173461058653,0.1614608132968705,-0.1819477293639723,0.06309558687295275,0.18143255960305613,0.024125869768782116
0.051508632784854486,0.18212029573727853,-0.1368474065591717,0.05541287995015852,0.07672545911650212,0.02096828759527961
-0.06307603440699375,0.1459346593495853,-0.10866859325327753,0.04864364791766112,-0.0783613169692857,0.01553276091653147
-0.17102968151919606,0.33420965073035847,-0.09953330928628744,0.042413940342488486,-0.2524200463287606,0.01020126346797825
-0.1080178155760345,0.12627991034573688,-0.10863950927843007,0.03664783623448815,-0.41254076347815993,0.0050368250060697185
-0.11831833094650514,0.061168355595220686,-0.13202663570503098,0.031287864937577015,-0.5311437434542408,-0.0022545716527299256
-0.11387349387937815,0.05491626582644618,-0.16307758022744706,0.0260563493822917,-0.59109205351813,-0.014796748919937805
-0.06007713836727435,0.04297311987557318,-0.19379093962520072,0.020407658589131246,-0.5880365594381959,-0.03420556595351087
-0.17409231951030887,-0.23258392662349234,-0.21658198497187692,0.013721876619519159,-0.5296889506999383,-0.05858507566065344
-0.3033919829455017,-0.33389486132761537,-0.22614019935172539,0.005667868794330748,-0.43249395646875494,-0.08192357412697097
-0.47249069094846796,-0.2818350604044729,-0.22077846538453205,-0.00343134762545927,-0.31677713526013085,-0.0954300151022323
-0.5821045379545808,-0.26465156771712195,-0.2028043254988101,-0.012425333515609017,-0.20173008217715402,-0.09056836607527188
-0.7266566364503768,-0.5114857172359741,-0.17771358828319864,-0.019494116760638763,-0.10150323993177303,-0.06279891894451883
-0.6845105038304032,-0.5312400556701996,-0.15237363780388824,-0.022654949973388443,-0.023254747564806205,-0.014611509275990092
