run,cost_MBD,cost_DDD
1,11.03247074144317,1.5904007414222614
2,5.853432068916873,1.8797394270286796
3,12.478761724100409,2.2323447184347582
4,15.407677715951117,1.6888677725465666
5,9.7532372544898,1.8155661257749418
6,9.839840381123745,2.7444756473139837
7,6.821921055869776,2.5210365322837176
8,6.099212096849933,4.192640078383958
9,4.311466350944028,14.14909267506145
10,12.966516102558247,3.006313427780956
11,14.934172610963435,4.912029300465234
12,7.032922342904587,6.497047925575745
13,6.451519030814203,1.83012592630823
14,7.898128008089653,2.523324717911676
15,5.080140667208471,2.4927972735504498
16,12.694310771175772,2.4966372574769267
17,5.831814601160279,2.077438464162606
18,6.164295065886846,3.417454712651412
19,11.171006432983209,3.0215530448590404
20,12.654399859903315,1.9883947129350614
21,13.265926552436008,1.6791841833162024
22,8.588991974402315,9.83902598022948
23,8.4002408496534,17.57540641046909
24,8.564527067764208,2.72032341627024
25,7.142426118778506,3.1661745548463274
26,14.958893776940187,2.5997672509623544
27,13.951719509496696,4.8094269108254855
28,8.729676769653333,2.3063043750828967
29,7.36553008077332,2.3755610321485925
30,8.278205701457965,5.9181931105844505
31,5.3076218947352585,2.667404855740654
32,12.96993832001713,2.3046375591293704
33,21.45345155486629,3.735865180889771
34,15.32853605530176,1.7407956107350038
35,5.234463112736665,1.788760922214328
36,8.09608714538121,2.1344412956102214
37,6.215963080341665,2.089173600540481
38,14.712309363535724,5.502458410272072
39,8.154703569824779,1.9943539970236295
40,15.789725532345035,2.4630628997328854
41,16.000099253803555,3.3132028064931593
42,17.409081359211562,3.9673004543394987
43,16.558437008944875,3.6287892111409956
44,4.150329452675765,2.944562709706252
45,8.960214958032486,2.6047966820619233
46,7.703886516056064,1.9540548989100612
47,5.818134680083684,5.305721097994691
48,7.242974180859395,3.9544948460257725
49,3.5193596045755093,3.7209446617061848
50,5.509790966613284,2.211870615657383
51,4.60928166590028,2.435162934946934
52,7.9743713844795465,2.0330606210261664
53,13.962418028194099,4.118050667896728
54,9.926318264862541,7.023895863294407
55,9.299914866935612,2.463104716006511
56,5.968649539595645,7.205631486033582
57,7.796370071981377,4.475741859086294
58,10.489954153082797,2.692622212163123
59,9.483732555572269,3.289679629645879
60,8.662703476019848,2.696688449625599
61,5.859629798223308,2.238332997824843
62,9.047092676299552,2.48485660012318
63,9.102372489577876,3.633175220337257
64,11.28984492099404,3.6160997797746464
65,10.073835081472525,2.052383556538319
66,10.564279021248165,1.9850068328952446
67,11.438415711770164,16.782982623947152
68,6.959917515696901,3.2873627971676793
69,5.026089885677999,2.1001034933404137
70,9.83825146321979,1.846633401149748
71,6.0966824481016,6.406795253037133
72,15.40351089220949,2.258513374883464
73,9.039184071733784,2.0438743756291267
74,7.485248748693562,3.2621064102527826
75,7.216219696386021,1.7768418786492717
76,5.181131636930152,1.7419200234139334
77,10.901426538790634,2.386817021712484
78,2.866330160928676,17.06600407029472
79,10.678173876758624,1.856828874142716
80,5.5261040793738205,11.010507582666957
81,7.651240341326308,2.1723616089452347
82,15.719949408159115,1.8792561425334524
83,11.07725502052702,1.9127675166338312
84,7.295987766888441,2.379401263793415
85,5.5136184616655095,4.010051145627393
86,11.729810623229788,3.3674200610538927
87,8.484888146961747,3.624008857628795
88,7.130553612353991,2.032389355488631
89,9.795868454228115,2.1970256195050326
90,14.495117221316859,2.8079494690006572
91,8.646553255708865,2.1052043582404245
92,19.50681587160537,1.9816582511126444
93,10.13700432888141,3.272868217008189
94,5.514196544586738,3.941606458345019
95,13.047148865420326,6.605204723443177
96,9.475365779573306,17.14327036771106
97,10.740643029835729,11.40747361105909
98,6.207315929641443,13.626384346593339
99,8.771460183320306,1.9206847808223424
100,5.166779699944858,3.122154726525861
