metric,MBD,DDD
cost,9.43734 ± 3.74248,3.99873 ± 3.58533
lambda,19.1761 ± 7.14122e-15,1.62565 ± 2.50611
rho,0.999654 ± 2.23163e-16,0.998822 ± 0.000672948
time,0.339883 ± 0.130437,1.01312 ± 0.312103
attempts,1 ± 0,1 ± 0
stress,2.94612 ± 0.811882,1.69732 ± 0.284688
ratio_violation,0 ± 0,0 ± 0
objective,14.3861 ± 1.78531e-15,1.22041 ± 1.88017
solver,1 ± 0,1 ± 0
