run,stress_MBD,stress_DDD
1,3.872361337647409,1.6534511155811351
2,3.3537938110864935,1.6358324757577163
3,2.645773618295306,1.886799130933209
4,5.040881107866346,1.9019590503658832
5,3.7367308685709446,1.607903370392749
6,2.6712834586767182,1.3580677917914663
7,2.7900565064085674,1.6426603436514486
8,3.726826888423036,1.9228999482761187
9,2.8419536013868236,1.543403595906802
10,3.205977994943739,1.5364835673439146
11,2.575500337788286,1.7898413670556088
12,2.852780114279186,1.6729617264046208
13,2.12035568617178,2.167184055682207
14,3.4906175487303237,1.6685584848232446
15,3.0528936075284987,1.1987265505829685
16,3.6635523758796307,1.7724131544770403
17,3.5661421010528453,1.590047165603046
18,3.658230726460221,1.5243692879853536
19,1.1281383907993892,0.8493118894912759
20,1.1668001930400962,1.875506148143414
21,2.709841258829244,1.866510466702362
22,3.1911551796638435,1.8358257381955712
23,3.058828366085405,1.524908464852026
24,4.2782005284352405,1.4801258341143648
25,2.8422370064524567,1.5781992733458647
26,2.121251203477204,2.091285267113469
27,2.1237719264694626,1.5223991602827964
28,2.6447073860767625,1.8049990428492595
29,3.2374896119393988,1.7493316805735775
30,1.9232514950182673,1.929812358808744
31,3.202717238109215,1.647290463418501
32,3.8452493903921705,1.6703480488180886
33,2.3712685716350648,1.7996563317313707
34,4.1101522346671935,2.029860819954346
35,1.568822354137415,1.5442042678709222
36,3.185130119111617,1.964131086761968
37,3.8921211015898245,1.489353734771004
38,1.9168832219766825,2.0059589776394664
39,3.856141011083814,1.4100303715375475
40,2.8530408811789787,1.546459565372237
41,3.2399889114724867,1.9496600526667878
42,2.896390442893925,1.9967316715867303
43,1.7080625104151512,1.8080702414137273
44,2.8493990046116817,1.619510740674385
45,3.6120347214152346,1.6237848196660767
46,3.5472910218867093,1.8210108737776118
47,1.9618031271668002,1.6878863607153594
48,2.5170323457032104,1.5770795865004559
49,3.02759715336333,1.8187307101881491
50,1.7837935738404063,1.5044115912537244
51,2.7298881253256826,1.569847584369281
52,3.6880619797383845,1.8895609898189587
53,3.57050991688404,1.7314440164842642
54,3.72430096919527,2.1416248184458193
55,1.7233847219827005,0.7711229844086147
56,0.9365960369324434,1.6403016262163765
57,2.247123932161472,1.5467094415279596
58,3.1730276831078807,1.753907907268548
59,2.3575289707958897,1.9772898917999278
60,4.714485253937579,1.5016087416811565
61,2.0375089290257993,1.8843357659587645
62,2.927322119209597,1.9613362240198067
63,3.1322429384729595,2.0925748132830333
64,4.016668992926104,1.2067183698846364
65,3.6651931670663433,1.7656305860850534
66,4.240155540008351,1.214998328139148
67,3.5563403094272386,1.8097203543543847
68,2.8909672308526138,1.3151693992927875
69,1.1894017868983446,1.811145714865997
70,3.645032776172128,1.8573065946685832
71,3.171207374210173,1.7620851116503906
72,3.302498273848005,1.729986454274574
73,3.0285655091392387,1.9217530034724022
74,1.8962159220079609,1.3311376853479577
75,2.858683011707398,1.9427754227422547
76,2.14298950994325,1.5961184382652513
77,3.1696181614475405,1.8982398701783985
78,3.088945424146436,1.6489622530701584
79,2.8364343389853874,1.8862518006073614
80,3.2971828234893232,2.262454274655522
81,2.059316893092957,1.6003824510026827
82,3.8409564088027426,1.80895734483526
83,2.9611466488315727,1.5644616611168196
84,2.8255941934927153,1.9388755403544917
85,2.6376527896526167,1.7318187413811463
86,2.3429586539027047,1.8501047117320908
87,3.041167887932758,1.8772691617203239
88,2.502983556613817,1.3198622488981206
89,3.225106322772659,1.5765478713106233
90,2.8203863940021554,1.7141017925603241
91,3.4780165009307518,0.6334004977298707
92,0.760875536427826,1.9034280172668507
93,2.6611119518071122,1.9450995107667284
94,3.7885626526428675,1.8386795415190575
95,2.394610325943506,1.8422779020502236
96,2.84093491759083,1.7164123992103237
97,2.797571191755405,1.3797214065933185
98,3.3292772830005872,1.4371427702080046
99,4.045217295742626,1.4349635514745251
100,4.0642000554676025,2.5007639176841563
