metric,MBD,DDD
cost,9.18363 ± 3.21664,20.3729 ± 5.43001
lambda,19.1761 ± 3.74489e-15,49.7983 ± 5.376
rho,0.999654 ± 1.17028e-16,0.998587 ± 0.000877702
time,0.351832 ± 0.0207075,5.44472 ± 0.885035
attempts,1 ± 0,1 ± 0
stress,2.96216 ± 0.403806,1.32357 ± 0.503485
ratio_violation,0 ± 0,0 ± 0
objective,14.3861 ± 0,37.359 ± 4.03535
solver,1 ± 0,1 ± 0
