run,time_MBD,time_DDD
1,0.261676099995384,1.3357029000180773
2,0.2894834000035189,1.0782056999742053
3,0.3000264000147581,0.9990364999976009
4,0.20039420001558028,1.2860237999993842
5,0.20864590001292527,1.1594198000093456
6,0.2580546000099275,1.2350751999765635
7,0.24777270000777207,1.339002900000196
8,0.2056999999913387,1.1296862000017427
9,0.2537098999891896,1.145549699984258
10,0.20406540000112727,1.2090213000192307
11,0.26561299999593757,1.1596710000012536
12,0.1996620999998413,1.220664399996167
13,0.2004486000223551,1.202683799987426
14,0.2352491000201553,1.1415426000021398
15,0.22675749997142702,1.0826913999917451
