run,cost_MBD,cost_DDD
1,3.7964067733483775,186.57038857884348
2,11.956904413223004,38.167729369041005
3,9.550060089582047,43.440055473600786
4,13.021714287045087,26.059291277337657
5,17.973305276158047,4.830618575520977
6,17.1665324135531,6.142943808870909
7,10.30756872400725,25.62161229127543
8,25.028957589491895,16.46619093804389
9,9.251572271794176,90.04986893649424
10,14.980047702366475,15.569582049351304
11,7.769179197092406,112.41390141406006
12,11.443342426503873,99.40943730183102
13,7.593732915720614,63.795376690846034
14,13.72008532095266,45.27389357651731
15,23.12354501227154,89.68130568236161
