run,J,lambda,rho,time,attempts,stress,ratio_violation
0.000000000000000000e+00,1.865703885788434775e+02,5.163195885362618753e+00,1.000601459122896442e+00,1.355417799990391359e+00,7.000000000000000000e+00,1.625421327664147597e+00,0.000000000000000000e+00,3.875180140562765718e+00,1.000000000000000000e+00
1.000000000000000000e+00,3.816772936904100533e+01,2.161156731575264001e+00,9.999750946131225060e-01,1.715497199998935685e+00,7.000000000000000000e+00,1.120302032554289395e+00,0.000000000000000000e+00,1.623321597917848580e+00,1.000000000000000000e+00
2.000000000000000000e+00,4.344005547360078623e+01,2.420286396933807094e+00,1.000236385881009049e+00,1.400372700009029359e+00,7.000000000000000000e+00,1.651346102351959111e+00,0.000000000000000000e+00,1.818143772181908258e+00,1.000000000000000000e+00
3.000000000000000000e+00,2.605929127733765682e+01,2.731671572151784577e+00,1.000438118737199344e+00,1.213506999978562817e+00,7.000000000000000000e+00,1.532232611787856857e+00,0.000000000000000000e+00,2.052542813750053874e+00,1.000000000000000000e+00
4.000000000000000000e+00,4.830618575520976954e+00,7.180711741603502951e-02,1.001163961167180094e+00,1.108915099990554154e+00,7.000000000000000000e+00,1.239950650876439742e+00,0.000000000000000000e+00,5.607110071545611668e-02,1.000000000000000000e+00
5.000000000000000000e+00,6.142943808870908740e+00,5.887808584300762149e-01,1.000194589175595450e+00,1.355666600022232160e+00,7.000000000000000000e+00,1.440711897724683777e+00,0.000000000000000000e+00,4.438303168396040554e-01,1.000000000000000000e+00
6.000000000000000000e+00,2.562161229127542938e+01,1.585360505632456007e+00,9.998604949579227297e-01,1.128389999998034909e+00,6.000000000000000000e+00,1.537035067665452948e+00,0.000000000000000000e+00,1.191349911719682630e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.646619093804389067e+01,1.321441204671957914e+00,9.998553737731055158e-01,1.185291200003121048e+00,6.000000000000000000e+00,1.463248018710872955e+00,0.000000000000000000e+00,9.935476977386548114e-01,1.000000000000000000e+00
8.000000000000000000e+00,9.004986893649423507e+01,4.773362163168525463e+00,9.997252997632426474e-01,1.286261700006434694e+00,2.000000000000000000e+00,1.409122264925506851e+00,0.000000000000000000e+00,3.582405780958779928e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.556958204935130397e+01,6.025264953350935038e-01,1.000648620845156600e+00,1.352499999979045242e+00,7.000000000000000000e+00,1.386321626638854054e+00,0.000000000000000000e+00,4.541653013247487491e-01,1.000000000000000000e+00
1.000000000000000000e+01,1.124139014140600636e+02,4.552205545836116585e+00,1.000652131166450243e+00,1.345522899995557964e+00,7.000000000000000000e+00,1.532861313625215161e+00,0.000000000000000000e+00,3.417122611275080768e+00,1.000000000000000000e+00
1.100000000000000000e+01,9.940943730183101934e+01,4.296271813667974726e+00,1.000246245140491208e+00,1.192061399982776493e+00,7.000000000000000000e+00,1.481152732590377274e+00,0.000000000000000000e+00,3.224748638933757405e+00,1.000000000000000000e+00
1.200000000000000000e+01,6.379537669084603380e+01,4.977275843847134951e+00,1.000546015161655422e+00,1.442832800006726757e+00,7.000000000000000000e+00,1.505285297083538865e+00,0.000000000000000000e+00,3.735595610214244466e+00,1.000000000000000000e+00
1.300000000000000000e+01,4.527389357651730961e+01,5.434244644856034867e+00,1.000587603962449945e+00,1.296778099989751354e+00,7.000000000000000000e+00,1.710971213978347727e+00,0.000000000000000000e+00,4.086540972429351548e+00,1.000000000000000000e+00
1.400000000000000000e+01,8.968130568236161082e+01,2.784448773988971393e+00,1.000193276649301355e+00,1.446020500006852672e+00,7.000000000000000000e+00,1.275051079836878154e+00,0.000000000000000000e+00,2.090665790048583439e+00,1.000000000000000000e+00
