run,objective_MBD,objective_DDD
1,878.5720818334648,3.8751801405627657
2,878.5720818334648,1.6233215979178486
3,878.5720818334648,1.8181437721819083
4,878.5720818334648,2.052542813750054
5,878.5720818334648,0.05607110071545612
6,878.5720818334648,0.44383031683960406
7,878.5720818334648,1.1913499117196826
8,878.5720818334648,0.9935476977386548
9,878.5720818334648,3.58240578095878
10,878.5720818334648,0.45416530132474875
11,878.5720818334648,3.4171226112750808
12,878.5720818334648,3.2247486389337574
13,878.5720818334648,3.7355956102142445
14,878.5720818334648,4.0865409724293515
15,878.5720818334648,2.0906657900485834
