run,objective_MBD,objective_DDD
1,14.386063520900787,0.35742455305026993
2,14.386063520900787,1.2214718656324977
3,14.386063520900787,0.27110430842701516
4,14.386063520900787,0.6874565104763601
5,14.386063520900787,0.5906057511035419
6,14.386063520900787,0.06454685434270012
7,14.386063520900787,1.103847992910484
8,14.386063520900787,1.8107111547517416
9,14.386063520900787,0.31607588035212153
10,14.386063520900787,1.1985203743928572
11,14.386063520900787,0.7635810492486257
12,14.386063520900787,0.8424270421545321
13,14.386063520900787,0.3487573827219152
14,14.386063520900787,0.26673519821899055
15,14.386063520900787,1.5236771851273105
