run,rho_MBD,rho_DDD
1,0.9924685631430226,1.0006014591228964
2,0.9924685631430226,0.9999750946131225
3,0.9924685631430226,1.000236385881009
4,0.9924685631430226,1.0004381187371993
5,0.9924685631430226,1.00116396116718
6,0.9924685631430226,1.0001945891755954
7,0.9924685631430226,0.9998604949579227
8,0.9924685631430226,0.9998553737731055
9,0.9924685631430226,0.9997252997632426
10,0.9924685631430226,1.0006486208451566
11,0.9924685631430226,1.0006521311664502
12,0.9924685631430226,1.0002462451404912
13,0.9924685631430226,1.0005460151616554
14,0.9924685631430226,1.00058760396245
15,0.9924685631430226,1.0001932766493014
