run,stress_MBD,stress_DDD
1,1.1942244630117635,1.3452654778062405
2,0.7556564555941409,1.5071335646239636
3,1.4582050112206115,1.2199253981240192
4,1.7153690075524843,1.227135143222665
5,1.6475281804181403,1.280273978405436
6,1.271533233615587,1.3157093592607443
7,1.6396075919068438,1.3419500435732716
8,1.6711229947227715,1.4937776525883
9,0.985377393671482,1.3776137342811807
10,1.9907833468964158,1.5508411638158701
11,1.294176113387739,1.333891250189345
12,1.252115449052167,1.2672402013238506
13,1.09130220902318,1.299177722370864
14,1.793311855237088,1.355074265294261
15,1.5848428389150686,1.4720261008927857
