run,time_MBD,time_DDD
1,0.8582485000079032,1.3554177999903914
2,0.862418600008823,1.7154971999989357
3,1.1433709999837447,1.4003727000090294
4,0.8493550000130199,1.2135069999785628
5,0.8845122999919113,1.1089150999905542
6,0.8953297999978531,1.3556666000222322
7,0.846352000022307,1.128389999998035
8,0.8115957999834791,1.185291200003121
9,0.7936547999852337,1.2862617000064347
10,0.798790500004543,1.3524999999790452
11,0.8937043999903835,1.345522899995558
12,0.8632469000003766,1.1920613999827765
13,0.8246380999917164,1.4428328000067268
14,0.8201428000174928,1.2967780999897514
15,0.8546681000152603,1.4460205000068527
