run,rho_MBD,rho_DDD
1,0.9996543710486151,0.9999455092031819
2,0.9996543710486151,0.9999274264591956
3,0.9996543710486151,0.9998672577644513
4,0.9996543710486151,0.9997613485801078
5,0.9996543710486151,0.9992808868229713
6,0.9996543710486151,0.9999826106244807
7,0.9996543710486151,0.9999303710987121
8,0.9996543710486151,0.9996954490391401
9,0.9996543710486151,0.999831075096378
10,0.9996543710486151,0.9982381555002751
11,0.9996543710486151,0.9999246595413515
12,0.9996543710486151,0.9998834399272407
13,0.9996543710486151,0.999594764797541
14,0.9996543710486151,0.9994922361719009
15,0.9996543710486151,0.9979025011939395
