run,lambda_MBD,lambda_DDD
1,1164.0263238463801,5.163195885362619
2,1164.0263238463801,2.161156731575264
3,1164.0263238463801,2.420286396933807
4,1164.0263238463801,2.7316715721517846
5,1164.0263238463801,0.07180711741603503
6,1164.0263238463801,0.5887808584300762
7,1164.0263238463801,1.585360505632456
8,1164.0263238463801,1.321441204671958
9,1164.0263238463801,4.7733621631685255
10,1164.0263238463801,0.6025264953350935
11,1164.0263238463801,4.552205545836117
12,1164.0263238463801,4.296271813667975
13,1164.0263238463801,4.977275843847135
14,1164.0263238463801,5.434244644856035
15,1164.0263238463801,2.7844487739889714
