run,cost_MBD,cost_DDD
1,9.669061619943912,90.97745265054834
2,31.699993285782934,50.034892703897945
3,7.458959386069394,12.862061340690596
4,27.910530283352063,135.83519258875248
5,14.217568200142958,77.47076522901916
6,20.794996002120033,106.79401860305373
7,10.850258770623618,52089040381826.66
8,16.680310368994906,80.493605411115
9,25.29386478148394,29.496448258881937
10,17.600482789127284,388.2741673827924
11,11.712444257772187,236.87748367584683
12,33.73619186575736,27022351387.335846
13,6.287625708328713,78.67033303525868
14,9.043412482710707,166.41432518005794
15,17.406896431163645,118.04297956191421
