run,cost_MBD,cost_DDD
1,6.601694912481539,2.3477940609249734
2,9.944392740074917,23.937010396941538
3,4.947072017819718,9.046214049233098
4,7.769210566012497,14.34673811639548
5,9.409230897327665,5.93237146077338
6,5.809908221109941,17.90971862378138
7,9.298884512269147,17.33497511215328
8,4.327097365228722,4.177426443645716
9,15.546158215733461,1.8468752572661968
10,6.305354292637556,26.55510312976817
11,4.882591773007354,31.81275997066186
12,5.31570532893264,12.355807158447655
13,3.9217544476227464,7.095163288883167
14,12.225513057711218,12.660308867102605
15,6.907876819330746,43.15451691669864
