run,rho_MBD,rho_DDD
1,0.9924642005331017,0.9999451191814909
2,0.9924642005331017,0.9999213988453791
3,0.9924642005331017,1.0003345112978317
4,0.9924642005331017,1.0001948238394185
5,0.9924642005331017,0.9999553734212112
6,0.9924642005331017,0.99998566903619
7,0.9924642005331017,1.0094655969116595
8,0.9924642005331017,0.9999218813455303
9,0.9924642005331017,1.000202178548373
10,0.9924642005331017,0.999468064831898
11,0.9924642005331017,1.0005622683363893
12,0.9924642005331017,1.0075977805523437
13,0.9924642005331017,0.9998953063086883
14,0.9924642005331017,0.9998936095232898
15,0.9924642005331017,0.999740024001281
