run,stress_MBD,stress_DDD
1,1.2955389239962476,0.9903538905695245
2,1.2142209558322057,0.9532936451751353
3,2.2893535038850326,0.9458055466576032
4,1.4521250148539775,0.9712182949936267
5,1.169500913144599,0.9602668384369374
6,1.2138370206693532,1.0213355108738542
7,1.4332953587151493,1.0063255569293956
8,1.2676044911769182,1.0234177845372652
9,2.1060929124838936,1.0159433746964748
10,1.4509580283237051,1.0031249945489258
11,1.6852099681731314,0.9949826257545807
12,1.3403566233253468,0.9953641976143679
13,1.4812680813501098,1.0262469455769454
14,1.6786848291860852,1.0017251124959163
15,1.2648538301193721,1.0001140368124048
