run,time_MBD,time_DDD
1,0.7254183000000012,16.124740900000006
2,0.6537359000000151,15.467692199999988
3,0.4200723000000153,16.895657599999822
4,0.6649250999998912,17.269334399999934
5,0.6381157000000712,16.1717364000001
6,0.65892759999997,15.466385199999877
7,0.6652971000000889,21.566816300000028
8,0.6879351000000042,16.007913700000017
9,0.6434904999998707,16.527590200000077
10,0.6772392000000309,16.117217399999845
11,0.6134643000000324,16.336108800000147
12,0.6344524000001002,20.718616600000132
13,0.7083448999999291,16.009846800000105
14,0.6647566000001461,18.638718400000016
15,0.6617292000000816,15.787560099999837
