run,stress_MBD,stress_DDD
1,5.449442066735831,1.255834132503797
2,6.190382079368605,1.3233228160565553
3,5.133044954404091,1.215179100220415
4,5.592735181752965,1.1744083199871374
5,4.627883313323384,1.4038767661337752
6,4.908543821810086,1.0809733356440736
7,5.4252077755930666,0.9664732017029316
8,5.337531113036648,1.153726234793481
9,5.341959205304026,1.3169267108280491
10,5.006539786828413,1.2602981951462786
11,5.858124099478666,1.1238523950085246
12,4.654604506184442,1.2368103766155814
13,5.360206588627066,1.299981209064403
14,5.241580151290313,0.9372291391021812
15,3.990491880968339,1.1609219463874085
