run,lambda_MBD,lambda_DDD
1,19.176102998156598,0.6789249862765567
2,19.176102998156598,0.8426143585351362
3,19.176102998156598,5.174752330614463
4,19.176102998156598,5.6075891647947715
5,19.176102998156598,86406.107873211
6,19.176102998156598,1.0066051918759649
7,19.176102998156598,57.95607948500045
8,19.176102998156598,31.433598558190976
9,19.176102998156598,25.83407216871594
10,19.176102998156598,0.0
11,19.176102998156598,1.9887162010898425
12,19.176102998156598,6.665881178799617
13,19.176102998156598,39.902737601437714
14,19.176102998156598,47.509899771049696
15,19.176102998156598,7.58818904773398
