run,cost_MBD,cost_DDD
1,3.9719573613600696,11.12471209330102
2,6.398971517175787,7.312310702563955
3,5.689361838388594,20.43960187987229
4,7.9287288249281,6.289880070208509
5,12.51557142185291,49.689346854537604
6,15.711398005637086,21.05232509365013
7,12.602660413338686,6.248698771778801
8,7.650840229841221,12.190463949853807
9,4.92117514292368,15.478057188024572
10,15.34824696468538,12.193361834728469
11,5.529773284428242,14.41852896999053
12,5.740970843220967,63.69104056369859
13,8.273605595587323,26.11593236984061
14,12.318762802473326,6.409077402863065
15,10.535384690523404,11.642436565153622
