run,rho_MBD,rho_DDD
1,0.9996543728187575,0.9997166518190966
2,0.9996543728187575,0.9992717800248864
3,0.9996543728187575,0.998703250285996
4,0.9996543728187575,0.9996597276824987
5,0.9996543728187575,0.9995532484133053
6,0.9996543728187575,0.9996789247744281
7,0.9996543728187575,0.9999933817176858
8,0.9996543728187575,0.9999948437252946
9,0.9996543728187575,0.9999629701341071
10,0.9996543728187575,0.9999251161520265
11,0.9996543728187575,0.9989963705123037
12,0.9996543728187575,0.9995410192739632
13,0.9996543728187575,0.9996910038444466
14,0.9996543728187575,0.9984623712320019
15,0.9996543728187575,0.9988500723169793
