run,time_MBD,time_DDD
1,0.7581956000012724,25.762172599999758
2,0.6322984999987966,28.611544700001105
3,0.6665057000009256,27.726343199999974
4,0.6344682999988436,28.65205900000001
5,0.6430352000006678,25.836058299999422
6,0.6500268000017968,25.959210000000894
7,0.648465700000088,28.699273499998526
8,0.6323502999985067,25.314216200000374
9,0.6454430999983742,29.226008500001626
10,1.0555792999984988,29.005246000000625
11,0.6683482000007643,32.794754899998225
12,0.6886784999987867,34.72814730000027
13,0.7338565999998536,32.1504316999999
14,0.693734399999812,29.53921999999875
15,1.014144100001431,31.792737400002807
