run,cost_MBD,cost_DDD
1,19.16018614523198,22.369330918838514
2,32.68862208018726,80.58675442585921
3,16.566850940631635,66.04492785314429
4,11.432075119800906,61.77516841645668
5,35.65214996589616,39.19226138965194
6,18.740195262477233,2.623710593995745
7,12.594011348107278,18.43820384510561
8,8.527758750195172,211.11511442028296
9,21.200899745605298,57.32132599673853
10,23.881290426281744,
11,18.119708285672957,84.32294345214306
12,11.747654072718667,64.31540801290684
13,18.85847295256048,9.998324707106068
14,10.874355411334513,7.236669422673868
15,26.058662297325476,77.27684992817098
