run,lambda_MBD,lambda_DDD
1,1164.026357505257,6.951481060915296
2,1164.026357505257,86.39363597979016
3,1164.026357505257,2.279536938149211
4,1164.026357505257,2.5634921216538578
5,1164.026357505257,60.51993935263068
6,1164.026357505257,0.057349699836039894
7,1164.026357505257,2.9487762710249013
8,1164.026357505257,5.817627789720042
9,1164.026357505257,804.8269691640083
10,1164.026357505257,2.195700479777994
11,1164.026357505257,10.95062132187549
12,1164.026357505257,213.64824903435948
13,1164.026357505257,6.2119066541428305
14,1164.026357505257,9.868121369497194
15,1164.026357505257,30.900561635452156
