run,rho_MBD,rho_DDD
1,0.9996543728187575,0.9991168480276602
2,0.9996543728187575,0.9983648946723929
3,0.9996543728187575,0.9987065589903619
4,0.9996543728187575,0.9991777213557619
5,0.9996543728187575,0.9992238736700019
6,0.9996543728187575,0.9990404234497755
7,0.9996543728187575,0.9989242087530268
8,0.9996543728187575,0.9990960200915621
9,0.9996543728187575,0.9994626565419212
10,0.9996543728187575,0.9991154983616771
11,0.9996543728187575,0.9993269195944218
12,0.9996543728187575,0.9991797274131582
13,0.9996543728187575,0.9993068420349919
14,0.9996543728187575,0.999057730638576
15,0.9996543728187575,0.9989623436492041
16,0.9996543728187575,0.998904519173193
17,0.9996543728187575,0.9990688240749483
18,0.9996543728187575,0.9991189764060096
19,0.9996543728187575,0.9989013313193071
20,0.9996543728187575,0.9991637870583926
21,0.9996543728187575,0.9989546979541792
22,0.9996543728187575,0.9991809614759108
23,0.9996543728187575,0.998883663199305
24,0.9996543728187575,0.9986690959719434
25,0.9996543728187575,0.9991066176915329
26,0.9996543728187575,0.9988653607230016
27,0.9996543728187575,0.9986807941691455
28,0.9996543728187575,0.9988057505382982
29,0.9996543728187575,0.9991053979344675
30,0.9996543728187575,0.9984420607335747
31,0.9996543728187575,0.9987647393592045
32,0.9996543728187575,0.9993068243497918
33,0.9996543728187575,0.9988524861852683
34,0.9996543728187575,0.9991327397508539
35,0.9996543728187575,0.9992923190671237
36,0.9996543728187575,0.9990264786700704
37,0.9996543728187575,0.9984567222205027
38,0.9996543728187575,0.9992813764931161
39,0.9996543728187575,0.9990951253476716
40,0.9996543728187575,0.9989866538875829
41,0.9996543728187575,0.9986500400790183
42,0.9996543728187575,0.9987339963750788
43,0.9996543728187575,0.9989632754138852
44,0.9996543728187575,0.9989709083220253
45,0.9996543728187575,0.9990711608170736
46,0.9996543728187575,0.9989843541868989
47,0.9996543728187575,0.9986786276241011
48,0.9996543728187575,0.998801181831082
49,0.9996543728187575,0.9991585677412644
50,0.9996543728187575,0.9990873530574474
51,0.9996543728187575,0.9990978030993025
52,0.9996543728187575,0.9991573527664883
53,0.9996543728187575,0.9983324804207999
54,0.9996543728187575,0.999277751540891
55,0.9996543728187575,0.9989487177311606
56,0.9996543728187575,0.9986127452288666
57,0.9996543728187575,0.9992563754475902
58,0.9996543728187575,0.9990299616984689
59,0.9996543728187575,0.99846782611707
60,0.9996543728187575,0.9992485449485068
61,0.9996543728187575,0.998938615553522
62,0.9996543728187575,0.9989849664382191
63,0.9996543728187575,0.9988644918905237
64,0.9996543728187575,0.9991661239925608
65,0.9996543728187575,0.9984825464436109
66,0.9996543728187575,0.999096515351589
67,0.9996543728187575,0.9989703237643485
68,0.9996543728187575,0.9992880202534572
69,0.9996543728187575,0.9987885400682738
70,0.9996543728187575,0.9988939387494474
71,0.9996543728187575,0.998687514932377
72,0.9996543728187575,0.999087520047566
73,0.9996543728187575,0.9988955416126526
74,0.9996543728187575,0.9989460633996358
75,0.9996543728187575,0.9992539149093824
76,0.9996543728187575,0.9990038083511922
77,0.9996543728187575,0.998788827760557
78,0.9996543728187575,0.9988604854594806
79,0.9996543728187575,0.9990402431833113
80,0.9996543728187575,0.9982881645524195
81,0.9996543728187575,0.9989505466306611
82,0.9996543728187575,0.9987544867351124
83,0.9996543728187575,0.9991134427038069
84,0.9996543728187575,0.9990843781204051
85,0.9996543728187575,0.9986179890384138
86,0.9996543728187575,0.9990071529182597
87,0.9996543728187575,0.9991695575471621
88,0.9996543728187575,0.9961143133038465
89,0.9996543728187575,0.9987665986136917
90,0.9996543728187575,0.9986242363538588
91,0.9996543728187575,0.9988165071681746
92,0.9996543728187575,0.9991608994913979
93,0.9996543728187575,0.9962173672275081
94,0.9996543728187575,0.9991558512348188
95,0.9996543728187575,0.9992008888290371
96,0.9996543728187575,0.99939626823639
97,0.9996543728187575,0.9990539316880183
98,0.9996543728187575,0.9990382287896068
99,0.9996543728187575,0.9989447857799599
100,0.9996543728187575,0.9989521998043404
