metric,MBD,DDD
cost,8.54964 ± 3.16303,11.134 ± 7.3971
lambda,19.1761 ± 7.14122e-15,22.3398 ± 14.2157
rho,0.999654 ± 2.23163e-16,0.998911 ± 0.000462566
time,0.330193 ± 0.0990596,0.422565 ± 0.10869
attempts,1 ± 0,1 ± 0
stress,2.96975 ± 0.649734,2.78238 ± 0.751257
ratio_violation,0 ± 0,0 ± 0
objective,14.3861 ± 1.78531e-15,16.7603 ± 10.6651
solver,1 ± 0,1 ± 0
