run,time_MBD,time_DDD
1,0.3753703000002133,2.40351709999959
2,0.8982085999996343,0.4747428000009677
3,0.274062699998467,0.40065490000051796
4,0.2632781000029354,0.6308098000008613
5,0.3148645999972359,0.4841072000017448
6,0.3195701000004192,0.5590876999995089
7,0.3000675000002957,0.3276710999998613
8,0.2839549000018451,0.34768179999809945
9,0.30949150000014924,1.022308499999781
10,0.2829695000000356,0.34465930000078515
11,0.30429430000003777,0.3324304000016127
12,0.31323690000135684,0.3800736999983201
13,0.2826223000010941,0.3577664000004006
14,0.3097606999981508,0.4168231999974523
15,0.2818351999994775,0.32278650000080233
16,0.28873810000004596,0.306673300001421
17,0.3199731000022439,0.4026698999987275
18,0.32212909999725525,0.33845669999936945
19,0.2945237999992969,0.38421999999991385
20,0.2822387999985949,0.41503069999816944
21,0.2902895000006538,0.3332217999995919
22,0.28963849999854574,0.34245450000162236
23,0.3263643999998749,0.328968600002554
24,0.29489449999891804,0.3604722000018228
25,0.2635215000009339,0.32889520000026096
26,0.3023310999997193,0.4699488999976893
27,0.28887549999853945,0.32556149999800255
28,0.2829650000021502,0.7472622000022966
29,0.29816700000083074,0.3246106999977201
30,0.2849059000000125,0.3368664000008721
31,0.3009812000018428,0.33016370000041206
32,0.2682756999965932,0.3264355000028445
33,0.28704110000035143,0.3428667000007408
34,0.27674280000064755,0.3740975000000617
35,0.3033748000016203,0.34109060000264435
36,0.28316149999955087,0.3334824000012304
37,0.2813977000005252,0.32373659999939264
38,0.26427830000102404,0.6602626000021701
39,0.2887177000011434,0.34685589999935473
40,0.27576690000205417,0.4249973999976646
41,0.2831783000001451,0.34252289999858476
42,0.2968856000006781,0.3922625000013795
43,0.2856558999992558,0.3606312000010803
44,1.7715050999977393,1.3521516000000702
45,0.38839789999838104,0.3384836000004725
46,0.2688674999990326,0.3382165000002715
47,0.2786926999979187,0.3472326000010071
48,0.32196290000138106,0.3416990000005171
49,0.2971347999991849,0.41904580000118585
50,0.2853479999976116,0.34980410000207485
51,0.30254359999889857,0.37387430000308086
52,0.2848508999995829,0.3198234000010416
53,0.2928591000018059,0.4919016999992891
54,0.3093053000011423,0.3350849999987986
55,0.2931480000006559,0.32010239999726764
56,0.30692550000094343,0.3415695000003325
57,0.29269559999738703,0.3226061999994272
58,0.280534000001353,1.7758519999988494
59,0.2753774999982852,0.3438590000005206
60,0.2758609999982582,0.345573599999625
61,0.27374360000249,0.3401111999992281
62,0.2846186000024318,0.3338173999982246
63,0.2808459000007133,0.8321576000016648
64,0.3168803999978991,0.33972439999706694
65,0.2778986999983317,0.3536860999993223
66,0.27681680000023334,0.41226109999843175
67,0.29392660000303295,0.5061298000000534
68,0.29312710000158404,0.4372953000020061
69,0.27113960000133375,0.33565549999912037
70,0.31131570000070496,0.3373563999994076
71,0.29024240000217105,0.580228700000589
72,0.27124560000083875,0.35403690000021015
73,0.3117259999999078,0.32701989999986836
74,0.27900120000049355,0.3476052999976673
75,0.2743365999995149,0.3474239999995916
76,0.3127731999993557,0.34255389999816543
77,0.2990836999997555,0.35332410000046366
78,0.2970554000021366,0.3013996000008774
79,0.306344500000705,0.4827272999973502
80,0.2948589000006905,0.35245539999959874
81,0.2864694000018062,0.3178036000026623
82,0.323028399998293,0.35492230000090785
83,0.29010610000113957,0.34193340000274475
84,0.2733879000006709,0.3489831000006234
85,0.586174399999436,1.03722259999995
86,0.9674821000007796,0.8530406999998377
87,0.295799800001987,0.32661820000066655
88,0.2953483999990567,0.3401728999997431
89,0.2826802999989013,0.32697360000020126
90,0.3131573999999091,0.3277769000014814
91,0.2772304999998596,0.33926079999946523
92,0.29360060000180965,0.385532799999055
93,0.30238680000184104,0.34095259999958216
94,0.28717719999986,0.3347773000023153
95,0.278343699999823,0.3465862000011839
96,0.27561169999898993,0.3437128000005032
97,0.285919300000387,0.3174045000014303
98,0.28352369999993243,0.33931010000014794
99,0.2871655999988434,0.5052972000012232
100,0.29034260000116774,0.327746399998432
