run,J,lambda,rho,time,attempts,stress,ratio_violation
0.000000000000000000e+00,1.452241049627766323e+01,1.917610299815659758e+01,9.996543728187574640e-01,3.753703000002133194e-01,1.000000000000000000e+00,3.746300652979739798e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,3.566244449219588275e-01
1.000000000000000000e+00,4.871791209170534209e+00,1.917610299815659758e+01,9.996543728187574640e-01,8.982085999996343162e-01,1.000000000000000000e+00,1.635199217643427128e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-4.464265214059262910e+00
2.000000000000000000e+00,8.455334600916463828e+00,1.917610299815659758e+01,9.996543728187574640e-01,2.740626999984669965e-01,1.000000000000000000e+00,3.021662561175352479e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-2.100366804453150937e+00
3.000000000000000000e+00,5.070554578568351012e+00,1.917610299815659758e+01,9.996543728187574640e-01,2.632781000029353891e-01,1.000000000000000000e+00,4.688483394502761747e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-4.376410451875043073e+00
4.000000000000000000e+00,1.618958916982763085e+01,1.917610299815659758e+01,9.996543728187574640e-01,3.148645999972359277e-01,1.000000000000000000e+00,2.778972294782205754e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,8.787320589542401139e-01
5.000000000000000000e+00,9.421501021065870063e+00,1.917610299815659758e+01,9.996543728187574640e-01,3.195701000004191883e-01,1.000000000000000000e+00,3.275885322183229142e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-1.619776116198794691e+00
6.000000000000000000e+00,5.001012694342219511e+00,1.917610299815659758e+01,9.996543728187574640e-01,3.000675000002956949e-01,1.000000000000000000e+00,2.551509243750974321e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-4.268642326526361330e+00
7.000000000000000000e+00,6.643071724836955738e+00,1.917610299815659758e+01,9.996543728187574640e-01,2.839549000018450897e-01,1.000000000000000000e+00,4.126975797890388264e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-3.092261055942929104e+00
8.000000000000000000e+00,2.566767146726901316e+00,1.917610299815659758e+01,9.996543728187574640e-01,3.094915000001492444e-01,1.000000000000000000e+00,1.666039293485447326e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-7.263294464083043245e+00
9.000000000000000000e+00,1.500157893411800636e+01,1.917610299815659758e+01,9.996543728187574640e-01,2.829695000000356231e-01,1.000000000000000000e+00,3.368295876410284606e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,4.128754660778987118e-01
1.000000000000000000e+01,9.793157892193683267e+00,1.917610299815659758e+01,9.996543728187574640e-01,3.042943000000377651e-01,1.000000000000000000e+00,3.851123731203162759e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-1.398099381832318411e+00
1.100000000000000000e+01,3.583573076635518717e+00,1.917610299815659758e+01,9.996543728187574640e-01,3.132369000013568439e-01,1.000000000000000000e+00,2.444236295266245751e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-5.737261541851557567e+00
1.200000000000000000e+01,7.026001215850741666e+00,1.917610299815659758e+01,9.996543728187574640e-01,2.826223000010941178e-01,1.000000000000000000e+00,3.593577010717371678e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-2.931945039784913387e+00
1.300000000000000000e+01,7.972815020572109113e+00,1.917610299815659758e+01,9.996543728187574640e-01,3.097606999981508125e-01,1.000000000000000000e+00,3.278740653691908147e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-2.302412975486994196e+00
1.400000000000000000e+01,1.035773213315873598e+01,1.917610299815659758e+01,9.996543728187574640e-01,2.818351999994774815e-01,1.000000000000000000e+00,2.772010025722296156e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-1.117322161685153858e+00
1.500000000000000000e+01,1.265507859686292669e+01,1.917610299815659758e+01,9.996543728187574640e-01,2.887381000000459608e-01,1.000000000000000000e+00,2.543394861986981059e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-3.948162094312950843e-01
1.600000000000000000e+01,5.884757436106874628e+00,1.917610299815659758e+01,9.996543728187574640e-01,3.199731000022438820e-01,1.000000000000000000e+00,3.174094947334253014e+00,0.000000000000000000e+00,1.438606352126157262e+01,1.000000000000000000e+00,-3.599801788072465314e+00
