run,lambda_MBD,lambda_DDD
1,19.176102998156598,41.387327503157216
2,19.176102998156598,6.157358220727033
3,19.176102998156598,38.11320269195781
4,19.176102998156598,35.33218975122105
5,19.176102998156598,25.190401019577163
6,19.176102998156598,34.324235126122005
7,19.176102998156598,31.935723493350594
8,19.176102998156598,11.572653495937198
9,19.176102998156598,42.173968720804986
10,19.176102998156598,26.066613968029472
11,19.176102998156598,39.105652909402934
12,19.176102998156598,13.184751404144189
13,19.176102998156598,48.91426919976597
14,19.176102998156598,38.20143147096289
15,19.176102998156598,23.983985421669146
16,19.176102998156598,0.01889565845906695
17,19.176102998156598,38.40024554860463
18,19.176102998156598,0.040490148430851
19,19.176102998156598,20.770718783696847
20,19.176102998156598,0.2957223214010927
21,19.176102998156598,2.8679139416485886
22,19.176102998156598,7.430872815054585
23,19.176102998156598,22.02596201738528
24,19.176102998156598,22.027840970532864
25,19.176102998156598,21.293723399645653
26,19.176102998156598,30.404931490406774
27,19.176102998156598,38.84968953039785
28,19.176102998156598,22.28685770529171
29,19.176102998156598,22.815776289996162
30,19.176102998156598,12.566106473505442
31,19.176102998156598,0.028757515731470368
32,19.176102998156598,9.092240395676724
33,19.176102998156598,37.11720193267346
34,19.176102998156598,26.4715318459369
35,19.176102998156598,57.44229100398455
36,19.176102998156598,11.355928061223977
37,19.176102998156598,32.23115496767005
38,19.176102998156598,27.249420660697538
39,19.176102998156598,12.322500441804031
40,19.176102998156598,8.049595587427744
41,19.176102998156598,12.45918535663584
42,19.176102998156598,15.16812236646709
43,19.176102998156598,5.990268354580361
44,19.176102998156598,2.4185288468260175
45,19.176102998156598,6.804393970041549
46,19.176102998156598,27.311661338075268
47,19.176102998156598,40.278960342156246
48,19.176102998156598,8.267278024621138
49,19.176102998156598,17.375487910264543
50,19.176102998156598,0.03392160361866708
51,19.176102998156598,10.519421447189453
52,19.176102998156598,26.01286006822359
53,19.176102998156598,24.524505282834365
54,19.176102998156598,39.23032954450654
55,19.176102998156598,0.05461640942026321
56,19.176102998156598,21.321678084245633
57,19.176102998156598,12.262628181600792
58,19.176102998156598,8.039406083731487
59,19.176102998156598,18.948609938191748
60,19.176102998156598,30.65326789494901
61,19.176102998156598,5.761598441691845
62,19.176102998156598,18.4138395532718
63,19.176102998156598,33.200456841033834
64,19.176102998156598,21.609863998449008
65,19.176102998156598,21.476169692476397
66,19.176102998156598,24.877268485324915
67,19.176102998156598,46.462009558893854
68,19.176102998156598,27.138966130814083
69,19.176102998156598,26.730532180447096
70,19.176102998156598,26.639591396265594
71,19.176102998156598,42.31412884807771
72,19.176102998156598,42.10294937370402
73,19.176102998156598,31.842639474420693
74,19.176102998156598,35.44541920576176
75,19.176102998156598,27.06229793205661
76,19.176102998156598,31.902352487609406
77,19.176102998156598,37.89601440766762
78,19.176102998156598,0.30546970489803993
79,19.176102998156598,11.304183970142915
80,19.176102998156598,25.685858802770138
81,19.176102998156598,9.24859955199213
82,19.176102998156598,18.80785543432431
83,19.176102998156598,37.29325785404498
84,19.176102998156598,22.41445191970354
85,19.176102998156598,1.089841518170102
86,19.176102998156598,49.444632092915306
87,19.176102998156598,13.19974527734694
88,19.176102998156598,50.82777543414934
89,19.176102998156598,17.90879225758284
90,19.176102998156598,25.739131603860105
91,19.176102998156598,41.83663574199025
92,19.176102998156598,40.25181684448395
93,19.176102998156598,15.78678899089342
94,19.176102998156598,18.137499252463925
95,19.176102998156598,24.142466643176437
96,19.176102998156598,4.551601889785702
97,19.176102998156598,28.811888648815835
98,19.176102998156598,3.543397148076341
99,19.176102998156598,55.373297000744245
100,19.176102998156598,6.553169173584339
