run,rho_MBD,rho_DDD
1,0.9996543728187575,0.9985923232857206
2,0.9996543728187575,0.999368323196202
3,0.9996543728187575,0.999179795581369
4,0.9996543728187575,0.9997367641552221
5,0.9996543728187575,0.9997582838281676
6,0.9996543728187575,0.9985340582056835
7,0.9996543728187575,0.9989481719638953
8,0.9996543728187575,0.9995570640783664
9,0.9996543728187575,0.9980505895099074
10,0.9996543728187575,0.9995002237404478
11,0.9996543728187575,0.9989661651018787
12,0.9996543728187575,0.9991394175304059
13,0.9996543728187575,0.9992673698839559
14,0.9996543728187575,0.99969128943626
15,0.9996543728187575,0.9987955461717467
16,0.9996543728187575,0.9990749501669639
17,0.9996543728187575,0.9988249689638768
18,0.9996543728187575,0.99915221754362
19,0.9996543728187575,0.9993754033247221
20,0.9996543728187575,0.9985939586485019
21,0.9996543728187575,0.9988969518849717
22,0.9996543728187575,0.9992254869759968
23,0.9996543728187575,0.9979613032424695
24,0.9996543728187575,0.9990940016973698
25,0.9996543728187575,0.9992701534547601
26,0.9996543728187575,0.9993488365267489
27,0.9996543728187575,0.9991108436346164
28,0.9996543728187575,0.9992285044340729
29,0.9996543728187575,0.999798025886348
30,0.9996543728187575,0.9997323292695389
31,0.9996543728187575,0.9991811518640868
32,0.9996543728187575,0.9989155635802756
33,0.9996543728187575,0.9991175548646678
34,0.9996543728187575,0.9991178239422758
35,0.9996543728187575,0.9989772050506346
36,0.9996543728187575,0.9985732938250321
37,0.9996543728187575,0.9989592986480398
38,0.9996543728187575,0.9996918279819041
39,0.9996543728187575,0.9990634091607955
40,0.9996543728187575,0.9989593073607798
41,0.9996543728187575,0.9992363065137307
42,0.9996543728187575,0.9991278309087114
43,0.9996543728187575,0.9991635580340889
44,0.9996543728187575,0.998853528338371
45,0.9996543728187575,0.9996522091575207
46,0.9996543728187575,0.9996052211682421
47,0.9996543728187575,0.9992794164227731
48,0.9996543728187575,0.9994623206459982
49,0.9996543728187575,0.9990747550103389
50,0.9996543728187575,0.9989306200273919
51,0.9996543728187575,0.9993212184515357
52,0.9996543728187575,0.9994831206509205
53,0.9996543728187575,0.9997543564617122
54,0.9996543728187575,0.9990191866445783
55,0.9996543728187575,0.9985617374145429
56,0.9996543728187575,0.9983981935767743
57,0.9996543728187575,0.9995603221303547
58,0.9996543728187575,0.9996453483549471
59,0.9996543728187575,0.9997580344927592
60,0.9996543728187575,0.9990020007465377
61,0.9996543728187575,0.9986041590050341
62,0.9996543728187575,0.9997878335503843
63,0.9996543728187575,0.9988481364811711
64,0.9996543728187575,0.9996863757830527
65,0.9996543728187575,0.9987807702702128
66,0.9996543728187575,0.999706320623619
67,0.9996543728187575,0.9991950104424526
68,0.9996543728187575,0.9994385554995527
69,0.9996543728187575,0.9996267332781014
70,0.9996543728187575,0.999040397908648
71,0.9996543728187575,0.9988416142156212
72,0.9996543728187575,0.9991930378329049
73,0.9996543728187575,0.9989281063487959
74,0.9996543728187575,0.999606425815957
75,0.9996543728187575,0.9967987871989235
76,0.9996543728187575,0.9985523124897814
77,0.9996543728187575,0.9991735717794974
78,0.9996543728187575,0.9988018933609644
79,0.9996543728187575,0.9991266489387618
80,0.9996543728187575,0.9993477763542093
81,0.9996543728187575,0.9990911624351438
82,0.9996543728187575,0.9995045655556741
83,0.9996543728187575,0.9995194658339331
84,0.9996543728187575,0.9998660341861608
85,0.9996543728187575,0.9993875981256835
86,0.9996543728187575,0.9990066765225551
87,0.9996543728187575,0.9998328223122597
88,0.9996543728187575,0.9990452746146693
89,0.9996543728187575,0.9996741562557355
90,0.9996543728187575,0.9988272626862567
91,0.9996543728187575,0.9987682359220919
92,0.9996543728187575,0.9988221553505569
93,0.9996543728187575,0.9995712650340104
94,0.9996543728187575,0.9987939341449157
95,0.9996543728187575,0.9994707385230251
96,0.9996543728187575,0.9994423226902163
97,0.9996543728187575,0.9997794002332402
98,0.9996543728187575,0.9992210365002719
99,0.9996543728187575,0.9989772917472349
100,0.9996543728187575,0.9996514425198828
