run,stress_MBD,stress_DDD
1,3.74630065297974,0.5005685210228815
2,1.6351992176434271,3.027955347605208
3,3.0216625611753525,3.5098784515007355
4,4.688483394502762,4.433784953873864
5,2.7789722947822058,3.873109096483676
6,3.275885322183229,5.980725385307059
7,2.5515092437509743,3.2902657573416034
8,4.126975797890388,2.8312525993750057
9,1.6660392934854473,6.4498632262193
10,3.3682958764102846,2.0400581095545607
11,3.8511237312031628,2.538125273729198
12,2.4442362952662458,4.111044778964991
13,3.5935770107173717,2.0526662090100625
14,3.278740653691908,2.8489297141024257
15,2.772010025722296,3.9209353550933947
16,2.543394861986981,3.3626990024733865
17,3.174094947334253,2.7938517381198724
18,2.619291458012298,3.093083989774616
19,2.8647939487471445,3.090677216178924
20,3.1002115938855894,2.67299503387314
21,2.260674257933966,3.798145859609275
22,4.369671159070202,3.1026019514854277
23,2.4895484924223092,2.422343652232503
24,4.132833945714388,2.9908686439468792
25,2.846067588403004,2.6129143873164407
26,3.4109954285250756,4.2890301477669395
27,3.461698897985658,1.9197601682134855
28,2.5400667926935783,5.352873462604835
29,3.825456874827939,2.4548636258927905
30,3.838986837408253,2.551085534199241
31,2.9590718622776007,2.5555504738980903
32,3.4362970631022747,4.068567910011096
33,2.4495621010341,2.369725610560152
34,2.992399440917929,4.009649890736379
35,3.1932447915740725,3.160817096664762
36,3.3108314513148396,2.7643887653339387
37,2.9428989646981987,2.413227296516568
38,4.197752899105607,5.655893579293642
39,1.8400326685821344,3.9191347184883663
40,4.419493419953307,2.9779593945914837
41,2.758862525834782,3.695008421350016
42,3.315671086767939,2.9476434785276027
43,2.2426457846719394,2.1230137603116606
44,0.5644917420792501,0.9244525539887207
45,2.6551379397373123,3.3236469950048675
46,1.9758803128005857,3.2338753431577762
47,3.476050861781578,1.7099488930425253
48,3.0088870487743917,3.383826115962441
49,3.312890311073292,2.6846707448131357
50,3.06643116477888,1.4740393265743357
51,2.9437905809385567,3.7612908937266134
52,3.510608532398754,3.4687111699656343
53,3.041138212862458,5.018787290232109
54,2.7784037324831687,2.4713878568213112
55,3.357945474633283,3.3192503399195674
56,1.425427343113085,2.881917150094027
57,3.0962201003639627,2.7122851327765978
58,3.564630312173131,7.2060481391514
59,3.9718205009734304,3.044489165612693
60,4.871112625592181,3.2102423333298717
61,3.3676586411211606,2.7564514194243754
62,3.403677763827533,3.042456744332086
63,3.616307021029755,5.53906495595399
64,1.676500029675304,2.2996581935437814
65,2.6425996235477482,4.638647094141227
66,4.233395516453525,3.4868679096947743
67,2.923774166717583,3.7663263455338907
68,2.452008019716075,3.7160243889942226
69,3.745764174598635,2.3740859303723263
70,2.107988771522008,3.751596234730459
71,2.907052863377951,5.197304097499725
72,3.2834633999491456,2.118423249100743
73,1.9548417520520593,2.6756781468049873
74,3.136187227863006,3.0116773248481117
75,2.7908233899572785,2.1137716450241295
76,3.097292223253129,2.919248620451717
77,2.9256024316962623,3.0513769086189853
78,2.8403792693010503,1.8662931204897502
79,3.7743455488750053,5.211275600144862
80,2.0666664631746676,2.8815702639288725
81,2.5089939797949388,3.736584481705217
82,3.3375548403969963,2.817518087754537
83,3.2854359146403884,2.421889759799284
84,3.0291208937848664,3.8057000467862987
85,1.0395796882303054,1.0243702750017702
86,0.7913583104011775,1.9965342802521897
87,3.433487784620468,2.248420326847987
88,2.5922774594426286,1.9750985454764545
89,1.6029592440709917,3.201711086152997
90,2.49475184044901,2.669498674238622
91,3.719828806716874,3.3160329752266495
92,3.565643258200247,2.7153980154284305
93,3.25535043194348,2.795476555982175
94,4.243895406740487,3.640479805505245
95,3.199731123788921,2.614789625198304
96,2.721219745035311,3.0912436196686435
97,3.825380098505136,2.8551895136833796
98,3.0861617564958714,3.0853045635822323
99,1.7955667391988344,4.607436969756342
100,3.6594698814287905,2.2406805994009797
