run,objective_MBD,objective_DDD
1,14.386063521261573,31.04057292448818
2,14.386063521261573,4.618138254967734
3,14.386063521261573,28.58500213461645
4,14.386063521261573,26.50344126508837
5,14.386063521261573,18.89497765399191
6,14.386063521261573,25.743286527152858
7,14.386063521261573,23.951884937520155
8,14.386063521261573,8.684637355280117
9,14.386063521261573,31.63057148098291
10,14.386063521261573,19.551168079686796
11,14.386063521261573,29.329338846483108
12,14.386063521261573,9.88867208684963
13,14.386063521261573,36.68579451871482
14,14.386063521261573,28.652601914504583
15,14.386063521261573,17.988090834201095
16,14.386063521261573,0.01426680079789594
17,14.386063521261573,28.80027360101869
18,14.386063521261573,0.030464251351244406
19,14.386063521261573,15.578185984426845
20,14.386063521261573,0.22188988303584917
21,14.386063521261573,2.151044894928809
22,14.386063521261573,5.573274845666711
23,14.386063521261573,16.519562080957634
24,14.386063521261573,16.521001950523782
25,14.386063521261573,15.970399467218957
26,14.386063521261573,22.80381268143464
27,14.386063521261573,29.13735850962425
28,14.386063521261573,16.715266223626813
29,14.386063521261573,17.11283309524047
30,14.386063521261573,9.426808527823606
31,14.386063521261573,0.021666618273208177
32,14.386063521261573,6.819285462904801
33,14.386063521261573,27.837988536501513
34,14.386063521261573,19.8537581910536
35,14.386063521261573,43.08180160384869
36,14.386063521261573,8.517069720264901
37,14.386063521261573,24.17345966116759
38,14.386063521261573,20.43881333807704
39,14.386063521261573,9.241984862475425
40,14.386063521261573,6.037297473552933
41,14.386063521261573,9.344506888117328
42,14.386063521261573,11.376203139182902
43,14.386063521261573,4.492818376183374
44,14.386063521261573,1.8140014429060665
45,14.386063521261573,5.105224336266163
46,14.386063521261573,20.484853667043716
47,14.386063521261573,30.20934540166803
48,14.386063521261573,6.200582678877991
49,14.386063521261573,13.031728054826985
50,14.386063521261573,0.025540716228546527
51,14.386063521261573,7.889686921297468
52,14.386063521261573,19.510645871299275
53,14.386063521261573,18.394531731385666
54,14.386063521261573,29.422835925797138
55,14.386063521261573,0.04106081074771119
56,14.386063521261573,15.991360782108474
57,14.386063521261573,9.202651442355263
58,14.386063521261573,6.070380696746421
59,14.386063521261573,14.211562262689174
60,14.386063521261573,22.9900579588968
61,14.386063521261573,4.321301743037441
62,14.386063521261573,13.81376132942979
63,14.386063521261573,24.900442592451746
64,14.386063521261573,16.211502535881735
65,14.386063521261573,16.10722628786952
66,14.386063521261573,18.65922936894038
67,14.386063521261573,34.84660304146924
68,14.386063521261573,20.356439700561374
69,14.386063521261573,20.048710174876064
70,14.386063521261573,19.979799520828287
71,14.386063521261573,31.735713138348267
72,14.386063521261573,31.577318879017046
73,14.386063521261573,23.882071601468276
74,14.386063521261573,26.584171645513635
75,14.386063521261573,20.296815418784263
76,14.386063521261573,23.926869463260573
77,14.386063521261573,28.422125372508386
78,14.386063521261573,0.22920105157660306
79,14.386063521261573,8.478247381819905
80,14.386063521261573,19.26675005010149
81,14.386063521261573,6.936558422140434
82,14.386063521261573,14.10947008255863
83,14.386063521261573,27.970051168505186
84,14.386063521261573,16.81168277676706
85,14.386063521261573,0.8174840341142433
86,14.386063521261573,37.08356469132824
87,14.386063521261573,9.905265605933668
88,14.386063521261573,38.12093783034139
89,14.386063521261573,13.433611597389415
90,14.386063521261573,19.30446916364192
91,14.386063521261573,31.3775594835989
92,14.386063521261573,30.188959379469928
93,14.386063521261573,11.841078857185
94,14.386063521261573,13.603221423514904
95,14.386063521261573,18.106952600736793
96,14.386063521261573,3.4160950701736468
97,14.386063521261573,21.611213227926633
98,14.386063521261573,2.6576499465735237
99,14.386063521261573,41.53007402277257
100,14.386063521261573,4.921508372816761
