timestamp,tag,gamma,obj_total,E_traj,D_mats,P_stab,elapsed_sec,signals_used,use_nrmse,rho_mbd,rho_ddd,iters,interval_lo,interval_hi,history_len,gamma_lo,gamma_hi,signals,signal_mix_weights,w_traj,w_mats,w_stab,dw_ctrl,dw_plant,dw_comp,tol,max_iter
2025-10-27T15:29:49,eval,0.3819660112501051,3.464466481538017e+87,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.6180339887498949,3.370387602824843e+58,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.7639320225002103,1.4812047880410198e+41,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.8541019662496846,1.8255069206245826e+30,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.9098300562505257,11041.248465646464,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.9442719099991588,4.779505865754408e+39,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.8885438199983176,1.0097746709563818e+28,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.9229856737469506,6.634944888166099e+30,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.9016994374947425,10389.180779119635,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.8966744387541009,5.019824995207726e+27,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.9048050575098843,4.084846801202665e+27,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.8997800587692427,5.669698863666134e+27,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.9028856787843846,2.1154544187693135e+27,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,eval,0.900966300058885,4.115985343802166e+27,,,,,,True,,,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T15:29:49,best,0.9016994374947425,10389.180779119635,1.1887022605460704,103879.92076859088,0.0,8.908872604370117,"y,z,x,u",True,0.9929551809645535,0.9982821691048988,12,0.8997800587692427,0.9028856787843846,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
