run,stress_MBD,stress_DDD
1,1.2114197796820618,1.140711519373469
2,1.7058991459204913,1.3714859761079898
3,1.7192533318003977,1.3769522428876357
4,1.5986617283131261,1.630874631633331
5,0.9407893759403632,1.3749818502294309
6,2.2693962358726343,1.4773016167172364
7,1.1145523533576316,1.293483447495903
8,0.9882624824891599,1.2130126345077643
9,1.4706169427300502,1.256828474766973
10,1.9320962028281452,1.2873397944553802
11,1.6347636614314902,1.4642414014562297
12,1.5282897791448395,1.3947090614601587
13,1.5187869145575656,1.2028959686275242
14,2.0449191482310836,1.3390676375579516
15,1.6039294990608737,1.3875149407576681
16,0.9393470529226354,1.3511106345629078
17,1.2800005173534676,1.2662210229180695
18,0.9310286525448583,1.3410519563665944
19,1.0363142604841977,1.3903104622037115
20,1.6284800913495268,1.352100330406171
21,1.929657329503458,1.2954698340559825
22,1.363900712413552,1.394762725785979
23,1.5605524306339358,1.2275357681187427
24,2.308149843588333,1.3218640404044653
25,1.48119709149658,1.4228894666650809
26,0.9011880584839519,1.5590373131877628
27,1.593978170653717,1.2562069477526376
28,1.5507819043948343,1.2448688032184043
29,1.6464370960442938,1.4170763027461366
30,1.7310621796955297,1.256264248167155
31,1.8869127880109782,1.2883011106772435
32,1.894910506877977,1.4559070803415681
33,1.4306859289700238,1.3386307900026393
34,0.9409440533387012,1.296646269139463
35,1.376076410508669,1.4397202790371855
36,1.5731887917461629,1.2515922160133353
37,1.0130469642833548,1.3863349811149648
38,1.3073601420261167,1.2328880557140531
39,1.7686175149267227,1.3622574091929815
40,1.3307767477872288,1.3230583747068094
41,1.3687741144658132,1.366241499756653
42,1.5872854624601442,1.2882569461317532
43,1.5156058906453589,1.3415812701551486
44,2.0110519992629037,1.291148582518159
45,0.9068531759916456,1.2952820690174254
46,2.3649965378403386,1.0060126212696532
47,1.297561332167986,1.1778135358356359
48,1.3964789070484556,1.217951423713856
49,1.7771005272755522,1.382917296986935
50,1.806807472281272,1.2210144758108474
51,1.6111322716720502,1.3962173107325375
52,1.5195746585930443,1.2086232516201127
53,1.7510824024902256,1.2733960914203755
54,1.1729033849651715,1.3417971871050294
55,0.8929434220260697,1.2234561210086436
56,1.5291798363136448,1.2210273567029075
57,2.178633767486222,1.359570046829781
58,1.832319775407745,1.4145092318833847
59,1.1458712425547133,1.43784893160171
60,1.8616353200236728,1.3449712007978551
61,1.5427742033412608,1.355882332557559
62,1.3115147638583606,1.2254577445616768
63,1.7749921397965338,1.3353866605501001
64,1.6367299464629985,1.0525839609112295
65,1.1899714914525816,1.3045410552006695
66,1.2949437570096765,1.3591339057151166
67,2.2666608641522608,1.3513500259490503
68,1.305002067102553,1.1317852175760277
69,1.1792769899147755,1.1884063857979348
70,1.308100019742402,1.3210751226247954
71,1.6932543070574169,1.3346136327388383
72,1.3874822576521006,1.0568960755734773
73,2.009470171230365,1.4981591023754484
74,1.271066781880282,1.2709499872574916
75,1.2578137578233355,1.2883634032332165
76,1.7699632981242328,1.3604217586112008
