metric,MBD,DDD
cost,8.01944 ± 3.09069,8.0908 ± 5.02528
lambda,19.1761 ± 3.74489e-15,22.9175 ± 14.2536
rho,0.999654 ± 1.17028e-16,0.999216 ± 0.000408549
time,0.430472 ± 0.0401763,0.560981 ± 0.0974444
attempts,1 ± 0,1 ± 0
stress,3.00474 ± 0.531239,2.71404 ± 0.741682
ratio_violation,0 ± 0,0 ± 0
objective,14.3861 ± 0,17.1892 ± 10.6898
solver,1 ± 0,1 ± 0
