metric,MBD,DDD
cost,11.2137 ± 4.34803,19.0974 ± 12.0785
lambda,19.1761 ± 3.74489e-15,35.7131 ± 8.49532
rho,0.999654 ± 1.17028e-16,0.998766 ± 0.000700417
time,0.561861 ± 0.628023,0.972654 ± 0.669595
attempts,1 ± 0,1 ± 0
stress,2.71572 ± 0.994972,2.27989 ± 0.867864
ratio_violation,0 ± 0,0 ± 0
objective,14.3861 ± 0,26.7888 ± 6.37222
solver,1 ± 0,1 ± 0
