N_sims,J_mean,J_std,rho_mean,rho_std
1,10.421693933610166,9.316297998714713,0.9990609169585885,0.0004968042700609656
2,6.444745810588328,5.062815239103632,0.9988848684954252,0.0002947702558441165
3,17.233544536745175,8.68286225861383,0.998957608612287,0.00032538750313826863
5,11.573677401077871,4.227646897369904,0.9989364525096466,0.00035165873528527063
8,14.154964712852998,6.936897804841998,0.9989651695331542,0.00022345577714125644
12,18.35051218950027,5.101361325493728,0.9988783174462267,0.00036875652079341304
16,17.741364254011803,6.889753832884648,0.9990058631623928,0.00029298203101684134
20,19.01447753778535,6.928174640260008,0.9990799601341015,0.00022115092114909763
25,17.178856612574798,9.577377625816752,0.9990149229756335,0.00024864703279817965
30,23.532560458606035,11.610588625131562,0.9989282836765216,0.00022018024755404925
40,23.835477107632258,8.122700863108221,0.9986299067508841,0.0007945130984404957
50,22.665966514720473,12.136777206700906,0.99901788837309,0.00020699940823393863
65,21.006401486452337,9.142418628965752,0.9986744572478503,0.0008055013098581087
80,20.824653057253038,9.634719957807743,0.9987614141719764,0.0005097880230686613
100,19.067439089906753,6.76873366752722,0.9991170501347219,0.0003491194836174518
120,20.065917112344067,9.477527820740283,0.9988024762261002,0.0005088195583476469
150,23.389784641874606,11.27248256961604,0.9990613116929854,0.0002495722928498928
