metric,MBD,DDD
cost,10.8909 ± 5.45612,1.69144 ± 0.0786382
lambda,19.1761 ± 0,0.00734397 ± 0.0116821
rho,0.999654 ± 1.17757e-16,1.00094 ± 0.00137256
time,0.314055 ± 0.0308689,13.5478 ± 0.938263
attempts,1 ± 0,1 ± 0
stress,3.47688 ± 0.617919,1.07448 ± 0.0251386
ratio_violation,0 ± 0,0 ± 0
objective,14.3861 ± 0,0.00599818 ± 0.00899484
solver,1 ± 0,1 ± 0
