metric,MBD,DDD
cost,15.0729 ± 5.894,2.01954 ± 0.298936
lambda,1164.03 ± 2.39673e-13,0.00708538 ± 0.000985255
rho,0.992464 ± 1.17028e-16,1.00101 ± 0.00178275
time,0.661563 ± 0.0260099,15.8192 ± 1.25511
attempts,1 ± 0,1 ± 0
stress,5.38348 ± 0.501574,1.06887 ± 0.0188056
ratio_violation,0 ± 0,0 ± 0
objective,878.572 ± 0,0.00600084 ± 0.00122648
solver,1 ± 0,1 ± 0
