run,stress_MBD,stress_DDD
1,2.6116131646790204,1.0493041847156996
2,3.5125652499921305,1.1263696655133486
3,3.5901415772950873,1.08272688249343
4,4.585680149748056,1.0938313014299017
5,2.8804069584752416,1.070881221090887
6,3.585901656439778,1.06823545048833
7,3.4920597445359105,1.0707156617503375
8,2.661523382970598,1.0427655496095407
9,3.2133906865746074,1.0768244296628948
10,4.039030234053145,1.0595711732622377
