N_sims,J_mean,J_std,rho_mean,rho_std,obj_mean,obj_std
1,4.780754318530319,5.128337252451061,0.9991704231358263,0.00033465491683597274,11.660475276471422,11.186466001958124
2,6.915397535502746,6.305632055459159,0.9991739930544062,0.00018883379912714216,17.189526284004934,8.051345640075327
3,4.067307740426807,6.085051682729937,0.9987914537949921,0.00047200055057549755,7.4172292780735605,9.452385433287326
5,2.274720081765449,2.6105149250864024,0.9986132819038367,0.0007071222636404648,4.263593539390848,3.641865174674685
8,0.9122418034512553,1.746729329464322,0.9988066229041026,0.0005339912447620589,2.2287885204601414,3.7570391809735124
12,0.5215538541586604,0.8064030741340754,0.9991314991346598,0.0002777669513903356,1.5408617193921312,2.5021883558470446
16,0.8222096383022242,1.3002423061901904,0.998954110322449,0.0003717422397289767,1.1113275429507747,1.2360924348025686
20,0.32713584384989847,0.6033381908664424,0.998948287890434,0.0002748433663588633,0.5330110992936545,0.8057270611316505
25,0.3055761559504841,0.5749956025150839,0.9990935295727332,0.00021791264317028465,0.4935706880299713,0.8651526080240515
30,0.05661846413930647,0.03524651754787435,0.9989240589781678,0.0004158360364839398,0.1094345129234529,0.09847906974159362
40,0.11620564612747544,0.18525776736936786,0.9989383079252647,0.0002478248028920148,0.19642067086159054,0.27511135232643946
50,0.1091506584420264,0.10763498455150854,0.9988368811849195,0.000316514971270013,0.24693265093453345,0.28597353266420444
65,0.08722150417648915,0.11159347008107488,0.9989872958774851,0.0002231049336392507,0.14920997340491457,0.1808084776438742
80,0.04210280759134709,0.041185636788418814,0.9985541305823323,0.0005335800775064411,0.06843336548378101,0.05741514709350357
100,0.028085522210320773,0.033625508029348286,0.9989987502980451,0.00024030196087669874,0.09304972835865086,0.1652018864214392
120,0.021876891709466773,0.012424209081021754,0.9989489808202918,0.00023406317749383323,0.04237152305065779,0.03405744673731133
150,0.019000975284785115,0.01335071938344363,0.9984488368826794,0.0011788280078256928,0.03408332047643152,0.018376039689245772
