metric,MBD,DDD
cost,8.5099 ± 3.27489,9.26481 ± 8.00153
lambda,19.1761 ± 3.56462e-15,1.1994 ± 0.777072
rho,0.999654 ± 3.34183e-16,0.999469 ± 0.000627528
time,0.243322 ± 0.0441929,1.20668 ± 0.136732
attempts,1 ± 0,1.4 ± 0.827384
stress,1.44897 ± 0.336038,1.30638 ± 0.115566
ratio_violation,0 ± 0,0 ± 0
objective,14.3861 ± 1.78231e-15,0.901051 ± 0.583096
solver,1 ± 0,1 ± 0
