metric,MBD,DDD
cost,15.9255 ± 7.62026,36.8501 ± 20.8513
lambda,437.137 ± 555.618,1.8311 ± 1.39934
rho,0.997031 ± 0.00348741,1.0006 ± 0.00127912
time,0.42915 ± 0.293518,1.09281 ± 0.199577
attempts,1 ± 0,4.60317 ± 2.49864
stress,1.81629 ± 0.470919,1.48225 ± 0.13724
ratio_violation,0 ± 0,0 ± 0
objective,329.883 ± 419.406,1.37456 ± 1.04973
solver,1 ± 0,1 ± 0
