run,cost_MBD,cost_DDD
1,19.40310866761177,136.0203219803451
2,9.216822521997074,1159.1683390060994
3,15.261986489009091,23.83812460253176
4,8.842806666103973,34.53284257593166
5,18.78490442221207,12.889431394073588
6,10.406152563003982,162.4722757949989
7,27.204593559156226,36.129330873739484
8,27.45735129849029,109.36617412161496
9,18.94993769951622,1197.933865848969
10,16.887723847267104,inf
11,4.227039163202354,20.45585691276851
12,19.58167255546637,2.1556444632157605
13,12.677098171581491,44.15763099676279
14,7.070893464292704,472.9855237753861
15,24.300300320030058,15.666698945546432
16,14.907654254394837,635.5560425209018
17,10.729088957703729,4.347105936184876
18,13.906645720626482,31.280860017088596
19,29.599538741934897,44.0062437377678
20,26.402915128461125,6.541719834610227
21,32.23894161504617,36.941437619452955
22,15.73399117108434,23.038981131474728
23,5.799806033334361,inf
24,12.070871182515553,4.992735738747439
25,10.879705757292054,14.874490332414505
26,23.672571210352224,28.933285013043825
27,19.650526934795444,69.46181374547474
28,14.225551085779433,178.29496940985186
29,21.058456200566805,281.5954448310456
30,20.545820305254097,83.81052486457968
31,11.215903514947435,8.773314398008223
32,23.561511438645198,21.429499010596093
33,38.38331157574882,4.581951065355953
34,17.088630964348408,38.31785837957305
35,18.75834923961356,131.06754403310225
36,18.483317603130157,50.87895918300603
37,19.531941006974932,5.216201031472626
38,10.126171514676642,35.79701324742524
39,24.15416375322182,1.5899112195498044e+43
40,18.3609347078861,15.31103317347106
41,42.18928727728463,155.2385523888468
42,20.796911781288678,55.20749348317397
43,13.020379491815774,49.54128881873588
44,16.19199986206812,88.6274831435254
45,28.055333105767716,2.439904176496258e+108
46,20.294856608987544,7.561222539194316e+160
47,14.201657732325115,49.26327593646059
48,14.083770242915001,125.46555631167784
49,19.555477084753328,5.771575885483307
50,20.04238358285806,3.3256071883038456
51,4.8169632657095285,inf
52,29.079411748515195,12.687592189754143
53,7.063395037506332,28.509162018461193
54,12.561984614246306,8.981804947285319
55,12.701425372283866,28.0453083036961
56,15.697955405960828,82.8265761434669
57,16.148854038089954,136.76544832770418
58,8.430301832511022,3.864988734695845
59,13.915230852113952,15.19114782494062
60,14.693073317121828,28.46498737027828
61,27.051166253897065,57.07541756495322
62,26.6292187345099,3.477538240788397
63,17.021322990428963,86.72532739874156
64,6.778424539173241,26.04595935202068
65,23.733449575121178,196.83880871733828
66,18.86816036024835,3.790378604866558
67,16.126355553306556,2.586581646959128
68,8.161842564935474,11.498896337739048
69,14.2270634177918,inf
70,33.88763558593966,29.404080089918956
71,19.42580819790447,18.660165009606946
72,14.567829307402839,21.92056463917134
73,20.77965476720627,2.8138628917013078
74,14.983839597145364,2.3419177194605534
75,28.29015854661288,25.217769467906844
76,24.681000418166807,20.27399805152211
77,7.190994911841606,12.886026116302153
78,16.878757912911052,53.840047972779345
79,18.917907876254976,27.05206921275296
80,7.936897819118803,22.49533315420968
81,10.993609288291465,9.795020886538696
82,11.558111915404828,11.000666629832386
83,8.90309217411278,95.58002695981531
84,15.158228607201423,3.6234788122260535
85,17.57435494575906,12.685428269610021
86,9.265418098099422,9.587856513078748
87,9.485847161934775,8.879662850760583
88,24.337071763282584,88.37175013628206
89,14.200473934757735,41.18610410985224
90,17.219270424331633,31.37565680754936
91,7.5501983728464745,67.6682441482556
92,21.61574992826255,35.226985927089316
93,5.602171479534241,3.59000874334284
94,14.460432890206421,43.75243191251473
95,11.510572484332389,5.710456776587656
96,17.13176546740972,10.075341362051363
97,14.500916997455791,13.829695067768037
98,52.00656953492323,24.267375440795252
99,14.24283265659279,24.638412393409347
100,15.529974295060567,12.66816907534443
101,10.452246532774616,71.01276360757065
102,18.211687171442033,5.415881227078893
103,26.853109761429927,1.9409301937211665
104,23.4801640231548,4.1643627505568075
105,13.825445613099758,44.02284191535397
106,8.777360410587109,35.603344837159135
107,12.785244778120997,66.7215564099251
108,12.06848846291349,41.47476744725984
109,16.38119729728857,29.481809348075142
110,8.202911629088636,4.538479035121008
111,16.905104637946575,33.009565326390884
112,17.532091103240322,31.822321619524065
113,42.35533340671553,42.50448296395605
114,18.303190742037533,39.548464128624225
115,18.06816455308886,71.12055564727041
116,18.700574478827466,53.36996390012712
117,19.793462974839592,83.17800658624438
118,11.67226566902226,112.59098296340548
119,14.037204744959828,85.222059554265
120,27.631273532068448,24.625993215435702
121,12.606167606953045,22.082596954933752
122,19.903675456651712,162.77290382254066
123,13.12086861010005,31.819249276450797
124,18.221992478792213,9.45828053350827
125,9.589965852942186,2.9174857161045065
126,16.208834208644177,150.71505517339887
127,12.38296732192236,4.015517421474028
128,12.027010486407907,175.40539114216358
129,18.95774121909802,9.636177470827175
130,37.841582729737965,25.12778309012074
131,11.71329199973324,6.866899517612776
132,9.399119419447125,13.8180513378004
133,17.513092198971325,40.55843859480719
134,18.142499374015276,158.3468785788446
135,14.013940860446205,10.849498168137515
136,7.522773616750679,20.7938695949156
137,20.563669238286373,28.359444493873394
138,19.85576464773736,20.48050884382078
139,9.712611576497707,7.484518543991063
140,8.645160587366753,114.53479480112999
141,12.813946801034698,18.22636128419973
142,14.427576801624557,10.669039819755124
143,9.413845281266825,33.193852024051736
144,21.11962044652856,40.91206521667509
145,13.483120115527965,37.56005261485412
146,11.385552049012682,9.449390897807804
147,27.749226444434267,4.942977122903454
148,9.059545417671181,35.64949237786519
149,14.996278851223279,45.23604427205905
150,15.362622597579753,7.535496819019978
