run,lambda_MBD,lambda_DDD
1,1164.0263238463801,4.537516160888415
2,1164.0263238463801,4.164616489980955
3,1164.0263238463801,1.5023533025140823
4,1164.0263238463801,4.716633522093354
5,1164.0263238463801,1.4460923868917028
6,1164.0263238463801,1.3169264702126988
7,1164.0263238463801,1.4704341658519124
8,1164.0263238463801,5.1620736477735125
9,1164.0263238463801,4.490693049108964
10,1164.0263238463801,1.5700768473232072
11,1164.0263238463801,0.7145346509196288
12,1164.0263238463801,0.016116388491661013
13,1164.0263238463801,1.461640861301055
14,1164.0263238463801,5.731092136525741
15,1164.0263238463801,1.2488228957443146
16,1164.0263238463801,2.771942606066157
17,1164.0263238463801,0.04461350528608998
18,1164.0263238463801,1.8394581525393077
19,1164.0263238463801,2.5895886916274278
20,1164.0263238463801,0.20042497029628079
21,1164.0263238463801,2.22786459212234
22,1164.0263238463801,2.7113326179234774
23,1164.0263238463801,3.714926264129122
24,1164.0263238463801,1.9158548253206593
25,1164.0263238463801,1.1176775410809756
26,1164.0263238463801,3.253864548257577
27,1164.0263238463801,2.0127016747442057
28,1164.0263238463801,4.904319897196469
29,1164.0263238463801,3.6804408476131663
30,1164.0263238463801,4.0109895838674605
31,1164.0263238463801,0.5260688326239602
32,1164.0263238463801,1.5838030652413484
33,1164.0263238463801,0.19605780950939755
34,1164.0263238463801,4.777214312374717
35,1164.0263238463801,5.82913369713589
36,1164.0263238463801,2.623265669953541
37,1164.0263238463801,0.44086169543210113
38,1164.0263238463801,1.2606889922058044
39,1164.0263238463801,1.6594135434195871
40,1164.0263238463801,1.79030151629748
41,1164.0263238463801,4.996116896338984
42,1164.0263238463801,1.8083005947335349
43,1164.0263238463801,2.269304192436862
44,1164.0263238463801,2.2632893463476105
45,1164.0263238463801,1.4789428613499038
46,1164.0263238463801,4.270120123970251
47,1164.0263238463801,1.1947099909885552
48,1164.0263238463801,3.3036524199218347
49,1164.0263238463801,0.9374374392207538
50,1164.0263238463801,0.08106359563255615
51,1164.0263238463801,3.6627269747776086
52,1164.0263238463801,0.5479889886849213
53,1164.0263238463801,1.3852639423332014
54,1164.0263238463801,0.3616469410170751
55,1164.0263238463801,1.3579679309549169
56,1164.0263238463801,3.6635778701564976
57,1164.0263238463801,2.910501395511517
58,1164.0263238463801,0.045088492782508614
59,1164.0263238463801,3.085663134106401
60,1164.0263238463801,3.1860040057340218
61,1164.0263238463801,4.628058769976162
62,1164.0263238463801,0.009627447987543693
63,1164.0263238463801,3.0379007364723276
64,1164.0263238463801,0.9909108019240321
65,1164.0263238463801,3.099899900347654
66,1164.0263238463801,0.07087668549902239
67,1164.0263238463801,0.0710365689089879
68,1164.0263238463801,5.372722217941154
69,1164.0263238463801,4.415362356857176
70,1164.0263238463801,1.9014440296653286
71,19.176102997872015,0.49934579117697386
72,19.176102997872015,0.7231600297524876
73,19.176102997872015,0.018498654155609112
74,19.176102997872015,0.3214492475758044
75,19.176102997872015,0.7466569199572536
76,19.176102997872015,0.30499959139754734
77,19.176102997872015,1.2020492311672257
78,19.176102997872015,1.0347882800842942
79,19.176102997872015,0.590754604270156
80,19.176102997872015,0.637414503660084
81,19.176102997872015,0.3045658054114961
82,19.176102997872015,1.6874188056541328
83,19.176102997872015,2.138061814513691
84,19.176102997872015,1.5082094894934106
85,19.176102997872015,1.2771915512729628
86,19.176102997872015,0.08476468820547342
87,19.176102997872015,0.16315867330691586
88,19.176102997872015,1.8457988007094919
89,19.176102997872015,0.9901831525225259
90,19.176102997872015,0.8191708893357537
