run,stress_MBD,stress_DDD
1,2.071676190414857,1.3602060824300808
2,2.249162276627567,1.471022118867556
3,2.53761903832525,1.397811056526038
4,2.402801604962365,1.4798468816402934
5,2.30530503362511,1.4777152987167992
6,1.8591324141889705,1.4778777166928985
7,2.30290527158604,1.2607645994355656
8,2.3498581625153454,1.6072031310645731
9,1.820052866606245,1.6982053459657804
10,2.17122026230205,1.5250687755176637
11,1.871947195982055,1.365810698807394
12,2.0540979405965354,1.2474492374930706
13,2.4414789596234994,1.4373438994745071
14,2.4338976499636122,1.3043841219822239
15,1.991256828986493,1.262205500629052
16,2.091297590134506,1.7591489311260966
17,2.0064674843458934,1.124601460799853
18,2.502719970948415,1.390050699893955
19,2.2056279192547743,1.6269494759352114
20,2.4313315497851464,1.4552380097457525
21,2.537776098173009,1.4302690665882052
22,2.301043227662582,1.5761710148299741
23,2.1927172784454796,1.43902465429573
24,2.3824364092098063,1.340133411095015
25,2.063472638459566,1.5400274931123032
26,2.515645924287599,1.4387782492655343
27,2.4565161819515797,1.5194710681558734
28,2.0753040448350295,1.4655902145670465
29,2.101133502031284,1.3422860924866205
30,2.326331931728536,1.4728393321052335
31,1.9939383125813095,1.2820393944057844
32,2.061432293174916,1.2518284306226461
33,2.2312195066726535,1.5551618764497537
34,2.115273083324415,1.5934497054209857
35,1.7728018223198392,1.4016350681782945
36,1.9889445526816099,1.5008961207462381
37,2.4675218603458493,1.3006654592242584
38,2.0284579403431473,1.324879001866403
39,2.15595882963111,1.1965107924277816
40,2.02955871754373,1.5585320787080652
41,2.129960369222447,1.4423598535831526
42,2.2567630675647385,1.388439194566716
43,2.2327935005404416,1.4797554102535648
44,2.422728734089016,1.6941391750352197
45,2.320673396319137,1.4166052012404564
46,2.4265094995276706,1.5127824062204402
47,2.474519556610538,1.2439107406682324
48,2.144558619693283,1.4111230028551502
49,2.273112580809841,1.1444206719724546
50,2.2139279640603062,1.2120975355170347
51,2.512104118662964,1.5021636361298278
52,2.0061918187278995,1.2319754609590408
53,1.966011914662354,1.334947787429732
54,1.7816357104177882,1.2505812266758443
55,2.269971642156205,1.0934278373264497
56,1.9415492828340708,1.1964792069669896
57,1.7730713372529483,1.5115579769387488
58,2.1411412933949725,1.1874278500698758
59,2.2716141817478426,1.558935505617376
60,2.638769461618807,1.4808051024494502
61,2.3373155484980312,1.3394964226351227
