timestamp,tag,gamma,obj_total,E_traj,D_mats,P_stab,elapsed_sec,signals_used,use_nrmse,rho_mbd,rho_ddd,iters,interval_lo,interval_hi,history_len,gamma_lo,gamma_hi,signals,signal_mix_weights,w_traj,w_mats,w_stab,dw_ctrl,dw_plant,dw_comp,tol,max_iter
2025-10-27T10:58:30,eval,0.3819660112501051,301.2812270907429,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.6180339887498949,189.56641514065075,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.7639320225002103,256.453578128231,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.5278640450004206,250.22012114204014,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.6737620787507361,193.17936218071767,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.5835921350012618,235.02575174919937,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.6393202250021031,237.36402712334805,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.60487837125347,245.57409141180096,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.6261646075056782,240.60809913122827,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.6130089900092534,239.88206564437343,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.6211396087650367,241.79611306307825,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.6161146100243952,224.08400914082284,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.6192202300395371,219.93519927187728,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,eval,0.6173008513140374,532.9713681434764,,,,,,True,,,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
2025-10-27T10:58:30,best,0.6180339887498949,189.56641514065075,1.233002029120887,1883.3341311152985,0.0,1.7710654735565186,"y,z,x,u",True,0.9924933349004995,0.9948794989475203,12,0.6161146100243952,0.6192202300395371,14,0.0,1.0,"y,z,x,u",y:0.3;z:0.4;x:0.2;u:0.1,1.0,0.1,20.0,1.0,0.7,0.3,0.005,30
