x1,x2,x3,x4,u1,u2,y1,y2,z1,z2,z3
-0.4283278221631072,-0.3521335504882296,0.5323091855533487,0.36544406436407834,0.2012625809137871,0.5832441591647413,-0.4283278221631072,-0.3521335504882296,-0.4182646931174179,-0.32297134252999254,0.5323091855533487
-0.6540210536338833,0.10888503867129583,-0.22739199589701506,0.22744461149447143,-0.0387561125456214,0.4349963649734783,-0.6540210536338833,0.10888503867129583,-0.6559588592611644,0.13063485691996973,-0.22739199589701506
-0.6409641929755522,0.17637965446067044,-0.20276980606047787,0.0940881676867168,-0.2518751461243457,0.29921125000439824,-0.6409641929755522,0.17637965446067044,-0.6535579502817694,0.19134021696089035,-0.20276980606047787
-0.6379126237967442,0.12209269958050432,-0.04500902523434665,0.013836844810949087,-0.4005269481156845,0.19177238369838615,-0.6379126237967442,0.12209269958050432,-0.6579389712025284,0.13168131876542363,-0.04500902523434665
-0.7020755206598226,0.0949171943496517,0.27023902612262446,-0.14007640137390134,-0.4669294754889154,0.12061497413373876,-0.7020755206598226,0.0949171943496517,-0.7254219944342684,0.10094794305633864,0.27023902612262446
-0.7478357708099314,-0.00998931860473239,0.44917588838285,-0.16373131820089643,-0.4581237926712599,0.08469773327184078,-0.7478357708099314,-0.00998931860473239,-0.7707419604434943,-0.0057544319411403505,0.44917588838285
-0.7414543744896768,-0.1379033568182642,0.7776351010060775,-0.20327437847192678,-0.4031496640605649,0.07493367155490652,-0.7414543744896768,-0.1379033568182642,-0.761611857692705,-0.1341566732405189,0.7776351010060775
-0.6512086484816625,-0.34741325224757286,1.0650183660927146,-0.1288598486378646,-0.3431472670289913,0.07685622743228084,-0.6512086484816625,-0.34741325224757286,-0.6683660118331121,-0.34357044087595884,1.0650183660927146
-0.6934127036921534,-0.32118067946986023,1.3175238843796655,-0.2253938149260191,-0.31747972045204903,0.07441788501015494,-0.6934127036921534,-0.32118067946986023,-0.7092866897147558,-0.3174597852193525,1.3175238843796655
-0.6898418789733937,-0.38451942017333585,1.2957161187450466,-0.13896574401046335,-0.35031520045370107,0.054068972944361096,-0.6898418789733937,-0.38451942017333585,-0.7073576389960787,-0.3818159715261178,1.2957161187450466
-0.667916932984693,-0.4567695894112629,1.4301639128513437,-0.10364401125042032,-0.4420348583506196,0.00820046131238077,-0.667916932984693,-0.4567695894112629,-0.690018675902224,-0.45635956634564384,1.4301639128513437
-0.7514409926572796,-0.4455579218926595,1.4010714865935143,-0.08856606092169894,-0.5683433512064359,-0.0628280928509559,-0.7514409926572796,-0.4455579218926595,-0.7798581602176013,-0.44869932653520733,1.4010714865935143
-0.6686102789209393,-0.67487298411338,1.813519578816465,-0.028251506437115832,-0.6875134417648151,-0.1505441285513475,-0.6686102789209393,-0.67487298411338,-0.70298595100918,-0.6824001905409474,1.813519578816465
-0.6726149693263722,-0.8403750453829175,2.212146588705518,-0.0034057933989280215,-0.7535735210309485,-0.24015344489391025,-0.6726149693263722,-0.8403750453829175,-0.7102936453779196,-0.8523827176276131,2.212146588705518
-0.5590333543575124,-1.1745744502576234,2.7229049661410527,0.14589953549212745,-0.73129444196366,-0.31388749107832414,-0.5590333543575124,-1.1745744502576234,-0.5955980764556954,-1.1902688248115396,2.7229049661410527
-0.3387401541408209,-1.6245425506092042,3.130372683484248,0.4650841735974043,-0.6081908781967857,-0.35517385786795397,-0.3387401541408209,-1.6245425506092042,-0.3691496980506602,-1.6423012435026019,3.130372683484248
-0.28373065320261676,-1.7075681719562914,3.5690135436106543,0.48306067318448126,-0.39964620177374205,-0.35270210966736987,-0.28373065320261676,-1.7075681719562914,-0.3037129632913039,-1.72520327743966,3.5690135436106543
-0.22076786391502334,-1.707800956965155,3.6857706848857266,0.5635663063733798,-0.14542700657579283,-0.30346438385240226,-0.22076786391502334,-1.707800956965155,-0.228039214243813,-1.7229741761577753,3.6857706848857266
-0.13103477133276267,-1.635036577640435,3.4208203874894325,0.7208285863001428,0.10141029247914359,-0.21406064993414095,-0.13103477133276267,-1.635036577640435,-0.12596425670880548,-1.645739610137142,3.4208203874894325
-0.09231825803881062,-1.3672768602682348,2.9636686666623375,0.762622785481917,0.2897816419943774,-0.09992838294893042,-0.09231825803881062,-1.3672768602682348,-0.07782917593909175,-1.3722732794156813,2.9636686666623375
-0.01979159737348182,-1.100099952983775,2.2796808732706775,0.8585572047725948,0.3852197350698295,0.017393506839348375,-0.01979159737348182,-1.100099952983775,-0.0005306106199903446,-1.0992302776418075,2.2796808732706775
-0.026552967982142524,-0.7256379742897133,1.4259791607510723,0.8807319166967015,0.3792990056820229,0.11442390714764504,-0.026552967982142524,-0.7256379742897133,-0.007588017698041377,-0.7199167789323311,1.4259791607510723
-0.06319146033936632,-0.3169836002991929,0.9509987661279263,0.6905510332578273,0.2909066315568161,0.17045874360363758,-0.06319146033936632,-0.3169836002991929,-0.04864612876152551,-0.30846066311901105,0.9509987661279263
-0.11273771005602395,-0.008275023581246155,0.6072476192376273,0.5081637796399833,0.15904235198306543,0.17184995981224205,-0.11273771005602395,-0.008275023581246155,-0.10478559245687068,0.00031747440936594727,0.6072476192376273
